PLC_name;device_name;url_publisher;PLC_ip;port(i);offset_type(i);offset_grid_failure(i);offset_battery_failure(i);offset_charger_failure(i);offset_emergency_lamp_failure(i);offset_duration_failure(i);offset_system_failure(i);offset_comm_failure(i);offset_general_failure(i);offset_rest_mode(i);offset_normal_mode(i);offset_emergency_mode(i);offset_function_test(i);offset_duration_test(i);offset_dimming_level(i)
IDNG-MG-DP;LUMI-EMER-E2-02-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10084;10085;10085;10085;10085;10085;10085;10086;10087;10088;10088;10088;10088;10088;10089
IDNG-MG-DP;LUMI-EMER-E1-FE-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10116;10117;10117;10117;10117;10117;10117;10118;10119;10120;10120;10120;10120;10120;10121
IDNG-MG-DP;LUMI-EMER-E2-11-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10148;10149;10149;10149;10149;10149;10149;10150;10151;10152;10152;10152;10152;10152;10153
IDNG-MG-DP;LUMI-EMER-E1-E1-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10180;10181;10181;10181;10181;10181;10181;10182;10183;10184;10184;10184;10184;10184;10185
IDNG-MG-DP;LUMI-EMER-E2-0E-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10212;10213;10213;10213;10213;10213;10213;10214;10215;10216;10216;10216;10216;10216;10217
IDNG-MG-DP;LUMI-EMER-E1-F7-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10244;10245;10245;10245;10245;10245;10245;10246;10247;10248;10248;10248;10248;10248;10249
IDNG-MG-DP;LUMI-EMER-E2-12-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10276;10277;10277;10277;10277;10277;10277;10278;10279;10280;10280;10280;10280;10280;10281
IDNG-MG-DP;LUMI-EMER-E1-F9-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10308;10309;10309;10309;10309;10309;10309;10310;10311;10312;10312;10312;10312;10312;10313
IDNG-MG-DP;LUMI-EMER-E2-0F-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10340;10341;10341;10341;10341;10341;10341;10342;10343;10344;10344;10344;10344;10344;10345
IDNG-MG-DP;LUMI-EMER-E0-DB-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10372;10373;10373;10373;10373;10373;10373;10374;10375;10376;10376;10376;10376;10376;10377
IDNG-MG-DP;LUMI-EMER-E0-DC-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10404;10405;10405;10405;10405;10405;10405;10406;10407;10408;10408;10408;10408;10408;10409
IDNG-MG-DP;LUMI-EMER-E0-D9-DPZ;http:\/\/192.168.88.201:3000\/api\/v2\/generic\/;192.168.88.198;900;10436;10437;10437;10437;10437;10437;10437;10438;10439;10440;10440;10440;10440;10440;10441
