alias;command;offset;;;;
RV-BAR-1CA;bar_cmd;8001;;;Measures (1-8000);Port 502
RV-BAR-2CA;bar_cmd;8002;;;Commands(8001-10000);Port 502
RV-BAR-1MA;bar_cmd;8003;;;Alarms (1-5000);Port 503
RV-BAR-2MA;bar_cmd;8004;;;;
MM-BAR-1CA;bar_cmd;8005;;;;
MM-BAR-2CA;bar_cmd;8006;;;;
MM-BAR-1MA;bar_cmd;8007;;;;
MM-BAR-2MA;bar_cmd;8008;;;;
STMI-BAR-1MA;bar_cmd;8009;;;;
STMI-BAR-2MA;bar_cmd;8010;;;;
STMI-BAR-1CA;bar_cmd;8011;;;;
STMI-BAR-2CA;bar_cmd;8012;;;;
CH-BAR-1MA;bar_cmd;8013;;;;
CH-BAR-2MA;bar_cmd;8014;;;;
CH-BAR-1CA;bar_cmd;8015;;;;
CH-BAR-2CA;bar_cmd;8016;;;;
LQ-BAR-1CA;bar_cmd;8017;;;;
LQ-BAR-2CA;bar_cmd;8018;;;;
LQ-BAR-1MA;bar_cmd;8019;;;;
LQ-BAR-2MA;bar_cmd;8020;;;;
COR-BAR-1CA;bar_cmd;8021;;;;
COR-BAR-2CA;bar_cmd;8022;;;;
COR-BAR-1MA;bar_cmd;8023;;;;
COR-BAR-2MA;bar_cmd;8024;;;;
EST-BAR-1CA;bar_cmd;8025;;;;
EST-BAR-2CA;bar_cmd;8026;;;;
EST-BAR-1MA;bar_cmd;8027;;;;
EST-BAR-2MA;bar_cmd;8028;;;;
NG-BAR-1CA;bar_cmd;8029;;;;
NG-BAR-2CA;bar_cmd;8030;;;;
NG-BAR-1MA;bar_cmd;8031;;;;
NG-BAR-2MA;bar_cmd;8032;;;;
STM2-BAR-1MA;bar_cmd;8033;;;;
STM2-BAR-2MA;bar_cmd;8034;;;;
STM2-BAR-1CA;bar_cmd;8035;;;;
STM2-BAR-2CA;bar_cmd;8036;;;;
CAS-BAR-1MA;bar_cmd;8037;;;;
CAS-BAR-2MA;bar_cmd;8038;;;;
CAS-BAR-1CA;bar_cmd;8039;;;;
CAS-BAR-2CA;bar_cmd;8040;;;;
RESERVED;RESERVED;8041;;;;
RESERVED;RESERVED;8042;;;;
RESERVED;RESERVED;8043;;;;
RESERVED;RESERVED;8044;;;;
RESERVED;RESERVED;8045;;;;
RESERVED;RESERVED;8046;;;;
RESERVED;RESERVED;8047;;;;
RESERVED;RESERVED;8048;;;;
RESERVED;RESERVED;8049;;;;
RV-VENT-VF1-CA;fan_cmd;8050;;;;
RV-VENT-VF2-CA;fan_cmd;8051;;;;
RV-VENT-VF3-CA;fan_cmd;8052;;;;
RV-VENT-VF4-CA;fan_cmd;8053;;;;
RV-VENT-VF1-MA;fan_cmd;8054;;;;
RV-VENT-VF2-MA;fan_cmd;8055;;;;
RV-VENT-VF3-MA;fan_cmd;8056;;;;
RV-VENT-VF4-MA;fan_cmd;8057;;;;
