alias;measure;offset;;;
RV-MET-1MA;Surface_Temperature;1;;Measures (1-8000);Port 502
RV-MET-1MA;Relative_Humidity;2;;Commands(8001-10000);Port 502
RV-MET-1MA;Air_Pressure;3;;Alarms (1-5000);Port 503
RV-MET-1MA;Gust_Wind_Direction;4;;;
RV-MET-1MA;Gust_Wind_Speed;5;;;
RV-MET-1MA;Precipitation_Intensity;6;;;
RV-MET-1MA;Precipitation_Quantity;7;;;
RV-MET-1MA;Precipitation_Type;8;;;
MM-MET-1MA;Surface_Temperature;9;;;
MM-MET-1MA;Relative_Humidity;10;;;
MM-MET-1MA;Air_Pressure;11;;;
MM-MET-1MA;Gust_Wind_Direction;12;;;
MM-MET-1MA;Gust_Wind_Speed;13;;;
MM-MET-1MA;Precipitation_Intensity;14;;;
MM-MET-1MA;Precipitation_Quantity;15;;;
MM-MET-1MA;Precipitation_Type;16;;;
CH-MET-1MA;Surface_Temperature;17;;;
CH-MET-1MA;Relative_Humidity;18;;;
CH-MET-1MA;Air_Pressure;19;;;
CH-MET-1MA;Gust_Wind_Direction;20;;;
CH-MET-1MA;Gust_Wind_Speed;21;;;
CH-MET-1MA;Precipitation_Intensity;22;;;
CH-MET-1MA;Precipitation_Quantity;23;;;
CH-MET-1MA;Precipitation_Type;24;;;
LQ-MET-1MA;Surface_Temperature;25;;;
LQ-MET-1MA;Relative_Humidity;26;;;
LQ-MET-1MA;Air_Pressure;27;;;
LQ-MET-1MA;Gust_Wind_Direction;28;;;
LQ-MET-1MA;Gust_Wind_Speed;29;;;
LQ-MET-1MA;Precipitation_Intensity;30;;;
LQ-MET-1MA;Precipitation_Quantity;31;;;
LQ-MET-1MA;Precipitation_Type;32;;;
COR-MET-1MA;Surface_Temperature;33;;;
COR-MET-1MA;Relative_Humidity;34;;;
COR-MET-1MA;Air_Pressure;35;;;
COR-MET-1MA;Gust_Wind_Direction;36;;;
COR-MET-1MA;Gust_Wind_Speed;37;;;
COR-MET-1MA;Precipitation_Intensity;38;;;
COR-MET-1MA;Precipitation_Quantity;39;;;
COR-MET-1MA;Precipitation_Type;40;;;
NG-MET-1MA;Surface_Temperature;41;;;
NG-MET-1MA;Relative_Humidity;42;;;
NG-MET-1MA;Air_Pressure;43;;;
NG-MET-1MA;Gust_Wind_Direction;44;;;
NG-MET-1MA;Gust_Wind_Speed;45;;;
NG-MET-1MA;Precipitation_Intensity;46;;;
NG-MET-1MA;Precipitation_Quantity;47;;;
NG-MET-1MA;Precipitation_Type;48;;;
STM2-MET-1MA;Surface_Temperature;49;;;
STM2-MET-1MA;Relative_Humidity;50;;;
STM2-MET-1MA;Air_Pressure;51;;;
STM2-MET-1MA;Gust_Wind_Direction;52;;;
STM2-MET-1MA;Gust_Wind_Speed;53;;;
STM2-MET-1MA;Precipitation_Intensity;54;;;
STM2-MET-1MA;Precipitation_Quantity;55;;;
STM2-MET-1MA;Precipitation_Type;56;;;
CAS-MET-1CA;Surface_Temperature;57;;;
CAS-MET-1CA;Relative_Humidity;58;;;
CAS-MET-1CA;Air_Pressure;59;;;
CAS-MET-1CA;Gust_Wind_Direction;60;;;
CAS-MET-1CA;Gust_Wind_Speed;61;;;
CAS-MET-1CA;Precipitation_Intensity;62;;;
CAS-MET-1CA;Precipitation_Quantity;63;;;
CAS-MET-1CA;Precipitation_Type;64;;;
RESERVED;RESERVED;65;;;
RESERVED;RESERVED;66;;;
RESERVED;RESERVED;67;;;
RESERVED;RESERVED;68;;;
RESERVED;RESERVED;69;;;
RESERVED;RESERVED;70;;;
RESERVED;RESERVED;71;;;
RESERVED;RESERVED;72;;;
RESERVED;RESERVED;73;;;
RESERVED;RESERVED;74;;;
RESERVED;RESERVED;75;;;
RESERVED;RESERVED;76;;;
RESERVED;RESERVED;77;;;
RESERVED;RESERVED;78;;;
RESERVED;RESERVED;79;;;
RV-SEC-1-DET-1CA-IN;periodo_integracion;80;;;
RV-SEC-1-DET-1CA-IN;fallo_datos;81;;;
RV-SEC-1-DET-1CA-IN;numero_detector;82;;;
RV-SEC-1-DET-1CA-IN;intensidad_total;83;;;
RV-SEC-1-DET-1CA-IN;ocupacion_espira_cabeza;84;;;
RV-SEC-1-DET-1CA-IN;deteccion_congestion;85;;;
RV-SEC-1-DET-1CA-IN;deteccion_intensidad_inversa;86;;;
RV-SEC-1-DET-1CA-IN;sentido_circulacion;87;;;
RV-SEC-1-DET-1CA-IN;velocidad_media;88;;;
RV-SEC-1-DET-1CA-IN;longitud_media;89;;;
RV-SEC-1-DET-1CA-IN;distancia_media;90;;;
RV-SEC-1-DET-1CA-IN;vehlong1;91;;;
RV-SEC-1-DET-1CA-IN;vehlong2;92;;;
RV-SEC-1-DET-1CA-IN;vehlong3;93;;;
RV-SEC-1-DET-1CA-IN;vehlong4;94;;;
RV-SEC-1-DET-1CA-IN;vehlong5;95;;;
RV-SEC-1-DET-1CA-IN;vehlong6;96;;;
RV-SEC-1-DET-1CA-IN;vehlong7;97;;;
RV-SEC-1-DET-1CA-IN;vehlong8;98;;;
RV-SEC-1-DET-1CA-IN;vehlong9;99;;;
RV-SEC-1-DET-1CA-IN;vehlong10;100;;;
RV-SEC-1-DET-1CA-IN;vehlong11;101;;;
RV-SEC-1-DET-1CA-IN;vehlong12;102;;;
RV-SEC-1-DET-1CA-IN;vehlong13;103;;;
RV-SEC-1-DET-1CA-IN;vehlong14;104;;;
RV-SEC-1-DET-1CA-IN;vehlong15;105;;;
RV-SEC-1-DET-1CA-IN;vehlong16;106;;;
RV-SEC-1-DET-1CA-IN;vehvel1;107;;;
RV-SEC-1-DET-1CA-IN;vehvel2;108;;;
RV-SEC-1-DET-1CA-IN;vehvel3;109;;;
RV-SEC-1-DET-1CA-IN;vehvel4;110;;;
RV-SEC-1-DET-1CA-IN;vehvel5;111;;;
RV-SEC-1-DET-1CA-IN;vehvel6;112;;;
RV-SEC-1-DET-1CA-IN;vehvel7;113;;;
RV-SEC-1-DET-1CA-IN;vehvel8;114;;;
RV-SEC-1-DET-1CA-IN;vehvel9;115;;;
RV-SEC-1-DET-1CA-IN;vehvel10;116;;;
RV-SEC-1-DET-1CA-IN;vehvel11;117;;;
RV-SEC-1-DET-1CA-IN;vehvel12;118;;;
RV-SEC-1-DET-1CA-IN;vehvel13;119;;;
RV-SEC-1-DET-1CA-IN;vehvel14;120;;;
RV-SEC-1-DET-1CA-IN;vehvel15;121;;;
RV-SEC-1-DET-1CA-IN;vehvel16;122;;;
RV-SEC-1-DET-2CA-IN;periodo_integracion;123;;;
RV-SEC-1-DET-2CA-IN;fallo_datos;124;;;
RV-SEC-1-DET-2CA-IN;numero_detector;125;;;
RV-SEC-1-DET-2CA-IN;intensidad_total;126;;;
RV-SEC-1-DET-2CA-IN;ocupacion_espira_cabeza;127;;;
RV-SEC-1-DET-2CA-IN;deteccion_congestion;128;;;
RV-SEC-1-DET-2CA-IN;deteccion_intensidad_inversa;129;;;
RV-SEC-1-DET-2CA-IN;sentido_circulacion;130;;;
RV-SEC-1-DET-2CA-IN;velocidad_media;131;;;
RV-SEC-1-DET-2CA-IN;longitud_media;132;;;
RV-SEC-1-DET-2CA-IN;distancia_media;133;;;
RV-SEC-1-DET-2CA-IN;vehlong1;134;;;
RV-SEC-1-DET-2CA-IN;vehlong2;135;;;
RV-SEC-1-DET-2CA-IN;vehlong3;136;;;
RV-SEC-1-DET-2CA-IN;vehlong4;137;;;
RV-SEC-1-DET-2CA-IN;vehlong5;138;;;
RV-SEC-1-DET-2CA-IN;vehlong6;139;;;
RV-SEC-1-DET-2CA-IN;vehlong7;140;;;
RV-SEC-1-DET-2CA-IN;vehlong8;141;;;
RV-SEC-1-DET-2CA-IN;vehlong9;142;;;
RV-SEC-1-DET-2CA-IN;vehlong10;143;;;
RV-SEC-1-DET-2CA-IN;vehlong11;144;;;
RV-SEC-1-DET-2CA-IN;vehlong12;145;;;
RV-SEC-1-DET-2CA-IN;vehlong13;146;;;
RV-SEC-1-DET-2CA-IN;vehlong14;147;;;
RV-SEC-1-DET-2CA-IN;vehlong15;148;;;
RV-SEC-1-DET-2CA-IN;vehlong16;149;;;
RV-SEC-1-DET-2CA-IN;vehvel1;150;;;
RV-SEC-1-DET-2CA-IN;vehvel2;151;;;
RV-SEC-1-DET-2CA-IN;vehvel3;152;;;
RV-SEC-1-DET-2CA-IN;vehvel4;153;;;
RV-SEC-1-DET-2CA-IN;vehvel5;154;;;
RV-SEC-1-DET-2CA-IN;vehvel6;155;;;
RV-SEC-1-DET-2CA-IN;vehvel7;156;;;
RV-SEC-1-DET-2CA-IN;vehvel8;157;;;
RV-SEC-1-DET-2CA-IN;vehvel9;158;;;
RV-SEC-1-DET-2CA-IN;vehvel10;159;;;
RV-SEC-1-DET-2CA-IN;vehvel11;160;;;
RV-SEC-1-DET-2CA-IN;vehvel12;161;;;
RV-SEC-1-DET-2CA-IN;vehvel13;162;;;
RV-SEC-1-DET-2CA-IN;vehvel14;163;;;
RV-SEC-1-DET-2CA-IN;vehvel15;164;;;
RV-SEC-1-DET-2CA-IN;vehvel16;165;;;
RV-SEC-2-DET-3MA-OUT;periodo_integracion;166;;;
RV-SEC-2-DET-3MA-OUT;fallo_datos;167;;;
RV-SEC-2-DET-3MA-OUT;numero_detector;168;;;
RV-SEC-2-DET-3MA-OUT;intensidad_total;169;;;
RV-SEC-2-DET-3MA-OUT;ocupacion_espira_cabeza;170;;;
RV-SEC-2-DET-3MA-OUT;deteccion_congestion;171;;;
RV-SEC-2-DET-3MA-OUT;deteccion_intensidad_inversa;172;;;
RV-SEC-2-DET-3MA-OUT;sentido_circulacion;173;;;
RV-SEC-2-DET-3MA-OUT;velocidad_media;174;;;
RV-SEC-2-DET-3MA-OUT;longitud_media;175;;;
RV-SEC-2-DET-3MA-OUT;distancia_media;176;;;
RV-SEC-2-DET-3MA-OUT;vehlong1;177;;;
RV-SEC-2-DET-3MA-OUT;vehlong2;178;;;
RV-SEC-2-DET-3MA-OUT;vehlong3;179;;;
RV-SEC-2-DET-3MA-OUT;vehlong4;180;;;
RV-SEC-2-DET-3MA-OUT;vehlong5;181;;;
RV-SEC-2-DET-3MA-OUT;vehlong6;182;;;
RV-SEC-2-DET-3MA-OUT;vehlong7;183;;;
RV-SEC-2-DET-3MA-OUT;vehlong8;184;;;
RV-SEC-2-DET-3MA-OUT;vehlong9;185;;;
RV-SEC-2-DET-3MA-OUT;vehlong10;186;;;
RV-SEC-2-DET-3MA-OUT;vehlong11;187;;;
RV-SEC-2-DET-3MA-OUT;vehlong12;188;;;
RV-SEC-2-DET-3MA-OUT;vehlong13;189;;;
RV-SEC-2-DET-3MA-OUT;vehlong14;190;;;
RV-SEC-2-DET-3MA-OUT;vehlong15;191;;;
RV-SEC-2-DET-3MA-OUT;vehlong16;192;;;
RV-SEC-2-DET-3MA-OUT;vehvel1;193;;;
RV-SEC-2-DET-3MA-OUT;vehvel2;194;;;
RV-SEC-2-DET-3MA-OUT;vehvel3;195;;;
RV-SEC-2-DET-3MA-OUT;vehvel4;196;;;
RV-SEC-2-DET-3MA-OUT;vehvel5;197;;;
RV-SEC-2-DET-3MA-OUT;vehvel6;198;;;
RV-SEC-2-DET-3MA-OUT;vehvel7;199;;;
RV-SEC-2-DET-3MA-OUT;vehvel8;200;;;
RV-SEC-2-DET-3MA-OUT;vehvel9;201;;;
RV-SEC-2-DET-3MA-OUT;vehvel10;202;;;
RV-SEC-2-DET-3MA-OUT;vehvel11;203;;;
RV-SEC-2-DET-3MA-OUT;vehvel12;204;;;
RV-SEC-2-DET-3MA-OUT;vehvel13;205;;;
RV-SEC-2-DET-3MA-OUT;vehvel14;206;;;
RV-SEC-2-DET-3MA-OUT;vehvel15;207;;;
