device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_fan_state(i);offset_fan_cmd(i);offset_fan_vibration(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_windings_temperature_alarm(i);offset_windings_sensor_alarm(i);offset_fan_switch(i);offset_fan_gear(i);offset_vibration_sensor_alarm(i);offset_front_motor_bearing_sensor_alarm(i);offset_back_motor_bearing_sensor_alarm(i)
NG-VENT-VF1-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2244;8050;2372;2373;2374;170;171;172;173;174;175;176
NG-VENT-VF2-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2245;8051;2375;2376;2377;177;178;179;180;181;182;183
NG-VENT-VF3-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2246;8052;2378;2379;2380;184;185;186;187;188;189;190
NG-VENT-VF4-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2247;8053;2381;2382;2383;191;192;193;194;195;196;197
NG-VENT-VF5-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2248;8054;2384;2385;2386;198;199;200;201;202;203;204
NG-VENT-VF6-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2249;8055;2387;2388;2389;205;206;207;208;209;210;211
NG-VENT-VF7-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2250;8056;2390;2391;2392;212;213;214;215;216;217;218
NG-VENT-VF8-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2251;8057;2393;2394;2395;219;220;221;222;223;224;225
NG-VENT-VF1-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2252;8058;2396;2397;2398;226;227;228;229;230;231;232
NG-VENT-VF2-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2253;8059;2399;2400;2401;233;234;235;236;237;238;239
NG-VENT-VF3-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2254;8060;2402;2403;2404;240;241;242;243;244;245;246
NG-VENT-VF4-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2255;8061;2405;2406;2407;247;248;249;250;251;252;253
NG-VENT-VF5-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2256;8062;2408;2409;2410;254;255;256;257;258;259;260
NG-VENT-VF6-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2257;8063;2411;2412;2413;261;262;263;264;265;266;267
RV-VENT-VF1-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2258;8064;2414;2415;2416;268;269;270;271;272;273;274
RV-VENT-VF2-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2259;8065;2417;2418;2419;275;276;277;278;279;280;281
RV-VENT-VF3-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2260;8066;2420;2421;2422;282;283;284;285;286;287;288
RV-VENT-VF4-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2261;8067;2423;2424;2425;289;290;291;292;293;294;295
RV-VENT-VF1-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2262;8068;2426;2427;2428;296;297;298;299;300;301;302
RV-VENT-VF2-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2263;8069;2429;2430;2431;303;304;305;306;307;308;309
RV-VENT-VF3-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2264;8070;2432;2433;2434;310;311;312;313;314;315;316
RV-VENT-VF4-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2265;8071;2435;2436;2437;317;318;319;320;321;322;323
RV-VENT-VF5-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2266;8072;2438;2439;2440;324;325;326;327;328;329;330
RV-VENT-VF6-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2267;8073;2441;2442;2443;331;332;333;334;335;336;337
MM-VENT-VF1-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2268;8074;2444;2445;2446;338;339;340;341;342;343;344
MM-VENT-VF2-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2269;8075;2447;2448;2449;345;346;347;348;349;350;351
MM-VENT-VF3-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2270;8076;2450;2451;2452;352;353;354;355;356;357;358
MM-VENT-VF4-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2271;8077;2453;2454;2455;359;360;361;362;363;364;365
MM-VENT-VF5-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2272;8078;2456;2457;2458;366;367;368;369;370;371;372
MM-VENT-VF6-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2273;8079;2459;2460;2461;373;374;375;376;377;378;379
MM-VENT-VF7-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2274;8080;2462;2463;2464;380;381;382;383;384;385;386
MM-VENT-VF8-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2275;8081;2465;2466;2467;387;388;389;390;391;392;393
MM-VENT-VF1-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2276;8082;2468;2469;2470;394;395;396;397;398;399;400
MM-VENT-VF2-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2277;8083;2471;2472;2473;401;402;403;404;405;406;407
MM-VENT-VF3-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2278;8084;2474;2475;2476;408;409;410;411;412;413;414
MM-VENT-VF4-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2279;8085;2477;2478;2479;415;416;417;418;419;420;421
MM-VENT-VF5-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2280;8086;2480;2481;2482;422;423;424;425;426;427;428
MM-VENT-VF6-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2281;8087;2483;2484;2485;429;430;431;432;433;434;435
LQ-VENT-VF1-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2282;8088;2486;2487;2488;436;437;438;439;440;441;442
LQ-VENT-VF2-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2283;8089;2489;2490;2491;443;444;445;446;447;448;449
LQ-VENT-VF3-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2284;8090;2492;2493;2494;450;451;452;453;454;455;456
LQ-VENT-VF4-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2285;8091;2495;2496;2497;457;458;459;460;461;462;463
LQ-VENT-VF5-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2286;8092;2498;2499;2500;464;465;466;467;468;469;470
LQ-VENT-VF6-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2287;8093;2501;2502;2503;471;472;473;474;475;476;477
LQ-VENT-VF7-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2288;8094;2504;2505;2506;478;479;480;481;482;483;484
LQ-VENT-VF8-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2289;8095;2507;2508;2509;485;486;487;488;489;490;491
LQ-VENT-VF9-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2290;8096;2510;2511;2512;492;493;494;495;496;497;498
LQ-VENT-VF10-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2291;8097;2513;2514;2515;499;500;501;502;503;504;505
LQ-VENT-VF11-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2292;8098;2516;2517;2518;506;507;508;509;510;511;512
LQ-VENT-VF12-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2293;8099;2519;2520;2521;513;514;515;516;517;518;519
LQ-VENT-VF13-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2294;8100;2522;2523;2524;520;521;522;523;524;525;526
LQ-VENT-VF14-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2295;8101;2525;2526;2527;527;528;529;530;531;532;533
LQ-VENT-VF15-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2296;8102;2528;2529;2530;534;535;536;537;538;539;540
LQ-VENT-VF16-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2297;8103;2531;2532;2533;541;542;543;544;545;546;547
LQ-VENT-VF1-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2298;8104;2534;2535;2536;548;549;550;551;552;553;554
LQ-VENT-VF2-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2299;8105;2537;2538;2539;555;556;557;558;559;560;561
LQ-VENT-VF3-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2300;8106;2540;2541;2542;562;563;564;565;566;567;568
LQ-VENT-VF4-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2301;8107;2543;2544;2545;569;570;571;572;573;574;575
LQ-VENT-VF5-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2302;8108;2546;2547;2548;576;577;578;579;580;581;582
LQ-VENT-VF6-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2303;8109;2549;2550;2551;583;584;585;586;587;588;589
LQ-VENT-VF7-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2304;8110;2552;2553;2554;590;591;592;593;594;595;596
LQ-VENT-VF8-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2305;8111;2555;2556;2557;597;598;599;600;601;602;603
LQ-VENT-VF9-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2306;8112;2558;2559;2560;604;605;606;607;608;609;610
LQ-VENT-VF10-MA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2307;8113;2561;2562;2563;611;612;613;614;615;616;617
CH-VENT-VF1-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2308;8114;2564;2565;2566;618;619;620;621;622;623;624
CH-VENT-VF2-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2309;8115;2567;2568;2569;625;626;627;628;629;630;631
CH-VENT-VF3-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2310;8116;2570;2571;2572;632;633;634;635;636;637;638
CH-VENT-VF4-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2311;8117;2573;2574;2575;639;640;641;642;643;644;645
CH-VENT-VF5-CA;FAN;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2312;8118;2576;2577;2578;646;647;648;649;650;651;652
