device_name;url_publisher;source_name;host;measure_port(i);alarm_port(i);offset_door_open(i);offset_left_ext(i);offset_right_ext(i);offset_alarm_fa(i)
RV-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1080;1081;1082;1083
RV-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1084;1085;1086;1087
RV-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1088;1089;1090;1091
RV-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1092;1093;1094;1095
MM-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1096;1097;1098;1099
MM-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1100;1101;1102;1103
MM-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1104;1105;1106;1107
MM-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1108;1109;1110;1111
STMI-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1112;1113;1114;1115
STMI-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1116;1117;1118;1119
STMI-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1120;1121;1122;1123
STMI-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1124;1125;1126;1127
LQ-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1128;1129;1130;1131
LQ-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1132;1133;1134;1135
LQ-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1136;1137;1138;1139
LQ-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1140;1141;1142;1143
CH-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1144;1145;1146;1147
CH-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1148;1149;1150;1151
CH-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1152;1153;1154;1155
CH-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1156;1157;1158;1159
CAS-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1160;1161;1162;1163
CAS-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1164;1165;1166;1167
CAS-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1168;1169;1170;1171
CAS-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1172;1173;1174;1175
COR-SOSE-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1176;1177;1178;1179
COR-SOSE-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1180;1181;1182;1183
COR-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1184;1185;1186;1187
COR-SOSE-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1188;1189;1190;1191
EST-SOSE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;SOS;192.168.88.73;502;503;1192;1193;1194;1195
