device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_light(i);offset_sem_cmd(i)
RV-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2842;8180
RV-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2843;8181
MM-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2844;8182
MM-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2845;8183
STMI-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2846;8184
STMI-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2847;8185
LQ-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2848;8186
LQ-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2849;8187
CH-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2850;8188
CH-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2851;8189
CAS-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2852;8190
CAS-SMF-RAV-2CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2853;8191
CAS-SMF-RAV-3CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2854;8192
CAS-SMF-RAV-4CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2855;8193
CAS-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2856;8194
CAS-SMF-RAV-2MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2857;8195
CAS-SMF-RAV-3MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2858;8196
CAS-SMF-RAV-4MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2859;8197
COR-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2860;8198
COR-SMF-RAV-2MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2861;8199
COR-SMF-RAV-3MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2862;8200
COR-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2863;8201
COR-SMF-RAV-2CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2864;8202
COR-SMF-RAV-3CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2865;8203
EST-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2866;8204
EST-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2867;8205
STM2-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2868;8206
STM2-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2869;8207
STM2-SMF-RAV-2MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2870;8208
STM2-SMF-RAV-2CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2871;8209
NG-SMF-RAV-1MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2872;8210
NG-SMF-RAV-2MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2873;8211
NG-SMF-RAV-3MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2874;8212
NG-SMF-RAV-4MA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2875;8213
NG-SMF-RAV-1CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2876;8214
NG-SMF-RAV-2CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2877;8215
NG-SMF-RAV-3CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2878;8216
NG-SMF-RAV-4CA;SEM-RAV;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2879;8217
