device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_wind_speed(i);offset_traffic_direction(i);offset_alarm_sensor(i);offset_alarm_fa(i)
RV-ANI-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3418;3419;1992;1993
RV-ANI-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3420;3421;1994;1995
MM-ANI-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3422;3423;1996;1997
MM-ANI-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3424;3425;1998;1999
MM-ANI-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3426;3427;2000;2001
MM-ANI-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3428;3429;2002;2003
LQ-ANI-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3430;3431;2004;2005
LQ-ANI-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3432;3433;2006;2007
LQ-ANI-3CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3434;3435;2008;2009
LQ-ANI-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3436;3437;2010;2011
LQ-ANI-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3438;3439;2012;2013
LQ-ANI-3MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3440;3441;2014;2015
CH-ANE-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3442;3443;2016;2017
CH-ANE-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3444;3445;2018;2019
CH-ANE-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3446;3447;2020;2021
CH-ANE-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3448;3449;2022;2023
CAS-ANE-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3450;3451;2024;2025
CAS-ANE-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3452;3453;2026;2027
CAS-ANE-3MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3454;3455;2028;2029
CAS-ANE-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3456;3457;2030;2031
CAS-ANE-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3458;3459;2032;2033
CAS-ANE-3CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3460;3461;2034;2035
COR-ANE-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3462;3463;2036;2037
COR-ANE-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3464;3465;2038;2039
COR-ANE-3MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3466;3467;2040;2041
COR-ANE-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3468;3469;2042;2043
COR-ANE-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3470;3471;2044;2045
COR-ANE-3CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3472;3473;2046;2047
STM2-ANE-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3474;3475;2048;2049
STM2-ANE-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3476;3477;2050;2051
STM2-ANE-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3478;3479;2052;2053
STM2-ANE-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3480;3481;2054;2055
NG-ANE-1MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3482;3483;2056;2057
NG-ANE-2MA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3484;3485;2058;2059
NG-ANE-1CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3486;3487;2060;2061
NG-ANE-2CA;ANEM_INT;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3488;3489;2062;2063
