device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_no_concentration(i);offset_alarm_sensor(i);offset_alarm_fa(i)
RV-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3573;2222;2223
RV-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3574;2224;2225
MM-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3575;2226;2227
MM-NO-2CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3576;2228;2229
MM-NO-3CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3577;2230;2231
MM-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3578;2232;2233
MM-NO-2MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3579;2234;2235
MM-NO-3MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3580;2236;2237
LQ-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3581;2238;2239
LQ-NO-2CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3582;2240;2241
LQ-NO-3CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3583;2242;2243
LQ-NO-4CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3584;2244;2245
LQ-NO-5CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3585;2246;2247
LQ-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3586;2248;2249
LQ-NO-2MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3587;2250;2251
LQ-NO-3MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3588;2252;2253
LQ-NO-4MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3589;2254;2255
CH-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3590;2256;2257
CH-NO-2CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3591;2258;2259
CH-NO-3CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3592;2260;2261
CH-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3593;2262;2263
CH-NO-2MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3594;2264;2265
CH-NO-3MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3595;2266;2267
CAS-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3596;2268;2269
CAS-NO-2MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3597;2270;2271
CAS-NO-3MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3598;2272;2273
CAS-NO-4MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3599;2274;2275
CAS-NO-5MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3600;2276;2277
CAS-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3601;2278;2279
CAS-NO-2CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3602;2280;2281
CAS-NO-3CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3603;2282;2283
CAS-NO-4CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3604;2284;2285
CAS-NO-5CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3605;2286;2287
COR-NO-1MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3606;2288;2289
COR-NO-2MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3607;2290;2291
COR-NO-3MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3608;2292;2293
COR-NO-4MA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3609;2294;2295
COR-NO-1CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3610;2296;2297
COR-NO-2CA;NO;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3611;2298;2299
