device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_opac_concentration(i);offset_alarm_sensor(i);offset_alarm_fa(i)
RV-OPC-1CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3633;2332;2333
RV-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3634;2334;2335
MM-OPC-1CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3635;2336;2337
MM-OPC-2CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3636;2338;2339
MM-OPC-3CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3637;2340;2341
MM-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3638;2342;2343
MM-OPC-2MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3639;2344;2345
MM-OPC-3MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3640;2346;2347
LQ-OPC-1CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3641;2348;2349
LQ-OPC-2CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3642;2350;2351
LQ-OPC-3CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3643;2352;2353
LQ-OPC-4CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3644;2354;2355
LQ-OPC-5CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3645;2356;2357
LQ-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3646;2358;2359
LQ-OPC-2MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3647;2360;2361
LQ-OPC-3MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3648;2362;2363
LQ-OPC-4MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3649;2364;2365
CH-OPC-1CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3650;2366;2367
CH-OPC-2CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3651;2368;2369
CH-OPC-3CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3652;2370;2371
CH-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3653;2372;2373
CH-OPC-2MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3654;2374;2375
CH-OPC-3MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3655;2376;2377
CAS-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3656;2378;2379
CAS-OPC-2MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3657;2380;2381
CAS-OPC-3MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3658;2382;2383
CAS-OPC-4MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3659;2384;2385
CAS-OPC-5MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3660;2386;2387
CAS-OPC-1CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3661;2388;2389
CAS-OPC-2CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3662;2390;2391
CAS-OPC-3CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3663;2392;2393
CAS-OPC-4CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3664;2394;2395
CAS-OPC-5CA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3665;2396;2397
COR-OPC-1MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3666;2398;2399
COR-OPC-2MA;OPAC;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3667;2400;2401
