device_name;url_publisher
RV-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-SWE-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWE-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-SWE-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWG1-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWG2-MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWG3-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-SWS-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWE-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-SWE-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWE-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWE-MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-SWS-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWG1-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWG2-MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-SWS-5MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-SWL;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-SWE-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWL-BC;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-6CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-7CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-8CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWL-BM;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-4MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-5MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-6MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-7MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-SWS-8MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
