device_name;url_publisher
RV-PLCE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCE-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-2MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PLCSI-3MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PLCE-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLC-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-1MA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCG-CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-2CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-3CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-4CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PLCSI-5CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-PLCL-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-PLC-CGBT;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-PLCSI-1CA;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
