device_name;url_publisher
RV-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-OTS-1;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
