device_name;host;measure_port(i);alarm_port(i);source_name;url_publisher;offset_remote_control(i);offset_pres_fan_1(i);offset_pres_fan_2(i);offset_alarm_emergency_button(i)
MM-CUAD-PRES-GAL-CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3825;3826;3827;2455
MM-CUAD-PRES-GAL-MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3828;3829;3830;2456
CH-CUAD-PRES-GAL-CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3831;3832;3833;2457
CH-CUAD-PRES-GAL-MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3834;3835;3836;2458
CAS-CUAD-PRES-GAL-1CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3837;3838;3839;2459
CAS-CUAD-PRES-GAL-1MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3840;3841;3842;2460
CAS-CUAD-PRES-GAL-2CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3843;3844;3845;2461
CAS-CUAD-PRES-GAL-2MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3846;3847;3848;2462
COR-CUAD-PRES-GAL-1MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3849;3850;3851;2463
COR-CUAD-PRES-GAL-1CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3852;3853;3854;2464
COR-CUAD-PRES-GAL-2MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3855;3856;3857;2465
COR-CUAD-PRES-GAL-2CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3858;3859;3860;2466
COR-CUAD-PRES-GAL-3MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3861;3862;3863;2467
COR-CUAD-PRES-GAL-3CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3864;3865;3866;2468
NG-CUAD-PRES-GAL-CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3867;3868;3869;2469
NG-CUAD-PRES-GAL-MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3870;3871;3872;2470
STM2-CUAD-PRES-GAL-CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3873;3874;3875;2471
STM2-CUAD-PRES-GAL-MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3876;3877;3878;2472
LQ-CUAD-PRES-GAL-CA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3879;3880;3881;2473
LQ-CUAD-PRES-GAL-MA;192.168.88.73;502;503;PRESURIZACION;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3882;3883;3884;2474
