device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
COR-INT-CSA-RED-A;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4281
COR-MAGDIF-MAN-CSA-RED-A;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4282
COR-MAGDIF-A3-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4283
COR-MAGDIF-A5-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4284
COR-MAGDIF-A4-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4285
COR-MAGDIF-A6-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4286
COR-INT-CSA-SAI-A;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4287
COR-MAGDIF-MAN-CSA-SAI-A;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4288
COR-MAGDIF-AA12-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4289
COR-MAGDIF-AA9-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4290
COR-MAGDIF-AA1-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4291
COR-MAGDIF-AA2-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4292
COR-MAGDIF-AE10-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4293
COR-MAGDIF-AE11-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4294
COR-MAGDIF-A12-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4295
