device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
MM-MAG-CSA-RED;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4681
MM-INT-CSA-RED;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4682
MM-MAG-CSA-SAI;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4683
MM-INT-CSA-SAI;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4684
MM-MAGDIF-A9-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4685
MM-MAGDIF-A11-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4686
MM-MAGDIF-A12-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4687
MM-MAGDIF-A14-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4688
MM-MAGDIF-A4-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4689
MM-MAGDIF-A6-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4690
MM-MAGDIF-A3-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4691
MM-MAGDIF-A5-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4692
MM-MAGDIF-AA7-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4693
MM-MAGDIF-AA10-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4694
MM-MAGDIF-AA2-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4695
MM-MAGDIF-AA1-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4696
MM-MAGDIF-AE13-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4697
MM-MAGDIF-AE16-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4698
MM-MAGDIF-AE17-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4699
MM-MAGDIF-AE18-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4700
MM-MAGDIF-A17-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4701
MM-MAGDIF-A18-SC;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4702
MM-MAGDIF-A19-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4703
MM-MAGDIF-A20-SM;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4704
MM-MAG-CSEDBT-1;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4705
MM-MAG-CSEDBT-A1;INTERRUPTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;4706
