device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm(i);offset_fail(i)
RV-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2652;2653
RV-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2654;2655
RV-CT-CGBT-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2656;2657
RV-CT-CGBT-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2658;2659
RV-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2660;2661
RV-CT-PCI-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2662;2663
MM-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2664;2665
MM-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2666;2667
MM-CT-CGBT-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2668;2669
MM-CT-CGBT-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2670;2671
STMI-CT-ITS-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2672;2673
STMI-CT-ITS-HUM-2;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2674;2675
MM-CT-PCI-HUM-1;SMOKE_DETECTOR;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2676;2677
