device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm(i);offset_fail(i)
RV-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2782;2783
RV-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2784;2785
MM-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2786;2787
MM-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2788;2789
STMI-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2790;2791
CAS-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2792;2793
CAS-CT-CGBT-BC-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2794;2795
CAS-CT-CGBT-BM-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2796;2797
CH-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2798;2799
CH-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2800;2801
EST-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2802;2803
LQ-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2804;2805
LQ-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2806;2807
NG-CT-CGBT-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2808;2809
NG-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2810;2811
COR-CT-CGBT-BM-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2812;2813
COR-CT-CGBT-BC-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2814;2815
COR-CT-PCI-SIR-1;SIRENA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;2816;2817
