device_name;source_name;url_publisher
RV-PMV-5MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
RV-PMV-6CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PMV-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MM-PMV-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PMV-24CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STMI-PMV-23MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PMV-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
LQ-PMV-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-PMV-7MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CH-PMV-8CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMV-15CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMVI-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMVI-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMV-14MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMVI-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-PMVI-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-5CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-6CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-5CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-4MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-5MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-AF-6MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-4MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
CAS-CLV-5MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-PMV-17CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-PMVI-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-PMVI-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-PMVI-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-PMVI-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-4MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-5MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-6MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-5CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-AF-6CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-4MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
COR-CLV-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-CLV-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-2CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-3CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-4CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-2MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-3MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-AF-4MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PMVI-1CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PMVI-1MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
STM2-PMV-16MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PMV-19CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PMV-21CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
NG-PMV-25MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PMV-22MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PMV-26MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
GDR-PMV-9MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
GDR-PMV-10MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MNV-PMV-11MA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
MNV-PMV-13CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
EST-PMV-18CA;PANELES;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/
