device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_state_cmd(i);offset_state(i)
RV-CONT-A3;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8250;6190
RV-CONT-A4;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8251;6191
RV-CONT-A5;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8252;6192
RV-CONT-A6;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8253;6193
RV-CONT-A10;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8254;6194
RV-CONT-A11;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8255;6195
RV-CONT-A12;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8256;6196
RV-CONT-A13;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8257;6197
RV-CONT-A15-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8258;6198
RV-CONT-A17-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8259;6199
RV-CONT-A16-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8260;6200
RV-CONT-A18-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8261;6201
RV-CONT-AA9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8262;6202
RV-CONT-AA8-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8263;6203
RV-CONT-AA2-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8264;6204
RV-CONT-AA1-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8265;6205
RV-CONT-AE7-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8266;6206
RV-CONT-AE14-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8267;6207
RV-CONT-AE15-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8268;6208
RV-CONT-AE16-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8269;6209
MM-CONT-A9-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8270;6210
MM-CONT-A11-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8271;6211
MM-CONT-A12-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8272;6212
MM-CONT-A14-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8273;6213
MM-CONT-A4-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8274;6214
MM-CONT-A6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8275;6215
MM-CONT-A3-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8276;6216
MM-CONT-A5-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8277;6217
MM-CONT-AA7-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8278;6218
MM-CONT-AA10-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8279;6219
MM-CONT-AA2-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8280;6220
MM-CONT-AA1-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8281;6221
MM-CONT-AE13-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8282;6222
MM-CONT-AE16-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8283;6223
MM-CONT-AE17-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8284;6224
MM-CONT-AE18-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8285;6225
MM-CONT-A17-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8286;6226
MM-CONT-A18-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8287;6227
MM-CONT-A19-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8288;6228
MM-CONT-A20-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8289;6229
STMI-CONT-AA1-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8290;6230
STMI-CONT-AA2-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8291;6231
STMI-CONT-AA6-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8292;6232
STMI-CONT-AA7-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8293;6233
STMI-CONT-AE5-SC;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8294;6234
STMI-CONT-AE10-SM;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8295;6235
STMI-CONT-A11;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8296;6236
STMI-CONT-A12;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8297;6237
STMI-CONT-A13;CIRCUITOS_ELECTRICOS;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;8298;6238
