device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_tank_capacity(i);offset_alarm_low_level(i)
RV-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6427;3182
RV-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6428;3183
MM-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6429;3184
MM-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6430;3185
LQ-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6431;3186
LQ-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6432;3187
CAS-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6433;3188
CAS-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6434;3189
CH-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6435;3190
CH-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6436;3191
NG-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6437;3192
NG-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6438;3193
COR-DEP-DIESEL-PCI;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6439;3194
COR-DALJ-1;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6440;3195
CAS-DEP-TRASIEGO-BM;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6441;3196
CAS-DEP-TRASIEGO-BC;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6442;3197
CH-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6443;3198
COR-DEP-TRASIEGO-BM;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6444;3199
COR-DEP-TRASIEGO-BC;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6445;3200
LQ-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6446;3201
MM-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6447;3202
NG-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6448;3203
RV-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6449;3204
STM2-DEP-TRASIEGO;TANQUES;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;6450;3205
