device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_leak_water(i)
RV-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3212
MM-DETFLJ-PCI-SC;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3213
LQ-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3214
LQ-DETFLJ-PCI-2;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3215
CAS-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3216
CAS-DETFLJ-PCI-2;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3217
CH-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3218
COR-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3219
NG-DETFLJ-PCI-1;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3220
MM-DETFLJ-PCI-SM;SENSOR_PERDIDAS_AGUA;192.168.88.73;502;503;http:\/\/192.168.88.70:3000\/api\/v2\/generic\/;3221
