device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
NO-S1S1-CCTV-01;NO-S1S1-CCTV-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S1-CCTV-02;NO-S1S1-CCTV-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S1-CCTV-03;NO-S1S1-CCTV-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S1-CCTV-04;NO-S1S1-CCTV-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S1-CCTV-05;NO-S1S1-CCTV-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S1-CCTV-06;NO-S1S1-CCTV-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-01;NO-S1S2-CCTV-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-02;NO-S1S2-CCTV-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-03;NO-S1S2-CCTV-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-04;NO-S1S2-CCTV-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-05;NO-S1S2-CCTV-05;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-06;NO-S1S2-CCTV-06;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S2-CCTV-07;NO-S1S2-CCTV-07;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S3-CCTV-01;NO-S1S3-CCTV-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S3-CCTV-02;NO-S1S3-CCTV-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S1S3-CCTV-03;NO-S1S3-CCTV-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S2-CCTV-01;NO-S2-CCTV-01;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S2-CCTV-02;NO-S2-CCTV-02;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S2-CCTV-03;NO-S2-CCTV-03;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
NO-S2-CCTV-04;NO-S2-CCTV-04;http:\/\/192.168.88.190:3000\/api\/v2\/generic\/;monitor;;'http://10.50.17.6'
