device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
RM-MDOM-001;RM-MDOM-001;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.8'
RM-MDOM-002;RM-MDOM-002;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.10'
RM-DOMO-001;RM-DOMO-001;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.2'
RM-DOMO-002;RM-DOMO-002;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.5'
RM-DOMO-003;RM-DOMO-003;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.6'
RM-DOMO-004;RM-DOMO-004;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.20.1.11'
RM-ANPR-001;RM-ANPR-001;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.60.1.2'
RM-ANPR-002;RM-ANPR-002;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.1.2'
RM-ANPR-003;RM-ANPR-003;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.1.9'
RM-ANPR-004;RM-ANPR-004;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.2.1'
RM-ANPR-005;RM-ANPR-005;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.2.2'
RM-ANPR-006;RM-ANPR-006;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.3.1'
RM-ANPR-007;RM-ANPR-007;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.3.2'
RM-ANPR-008;RM-ANPR-008;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.3.6'
RM-ANPR-009;RM-ANPR-009;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.3'
RM-ANPR-010;RM-ANPR-010;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.4'
RM-ANPR-011;RM-ANPR-011;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.6'
RM-ANPR-012;RM-ANPR-012;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.7'
RM-ANPR-013;RM-ANPR-013;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.11'
RM-ANPR-014;RM-ANPR-014;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.4.12'
RM-ANPR-015;RM-ANPR-015;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.5.1'
RM-ANPR-016;RM-ANPR-016;http:\/\/192.168.88.179:3000\/api\/v2\/generic\/;monitor;;'http://10.40.5.2'
