device_name;session_uid;camera_ip;url_publisher;read_permission;write_permission
C-TG01-0007-N;C-TG01-0007-N;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-0174-S;C-TG01-0174-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-0299-S;C-TG01-0299-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-0540-S;C-TG01-0540-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-1065-S;C-TG01-1065-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-1657-S;C-TG01-1657-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG58-1731-W;C-TG58-1731-W;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG58-1729-E;C-TG58-1729-E;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-1988-S;C-TG01-1988-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-1991-N;C-TG01-1991-N;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-2614-S;C-TG01-2614-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
C-TG01-2750-S;C-TG01-2750-S;192.168.88.251;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;monitor;
