device_name;session_uid;url_publisher;index;read_permission;write_permission
R-TG01-0012-S;R-TG01-0012-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;0;monitor;
R-TG01-0019-S;R-TG01-0019-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;1;monitor;
R-TG01-0023-N;R-TG01-0023-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;2;monitor;
R-TG01-0070-N;R-TG01-0070-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;3;monitor;
R-TG01-0129-S;R-TG01-0129-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;4;monitor;
R-TG01-0158-N;R-TG01-0158-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;5;monitor;
R-TG01-0161-S;R-TG01-0161-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;6;monitor;
R-TG01-0181-N;R-TG01-0181-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;7;monitor;
R-TG01-0221-N;R-TG01-0221-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;8;monitor;
R-TG01-0270-S;R-TG01-0270-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;9;monitor;
R-TG01-0319-S;R-TG01-0319-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;10;monitor;
R-TG01-0369-S;R-TG01-0369-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;11;monitor;
R-TG01-0419-S;R-TG01-0419-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;12;monitor;
R-TG01-0467-S;R-TG01-0467-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;13;monitor;
R-TG01-0517-S;R-TG01-0517-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;14;monitor;
R-TG01-0566-S;R-TG01-0566-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;15;monitor;
R-TG01-0614-S;R-TG01-0614-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;16;monitor;
R-TG01-0663-S;R-TG01-0663-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;17;monitor;
R-TG01-0713-S;R-TG01-0713-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;18;monitor;
R-TG01-0762-S;R-TG01-0762-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;19;monitor;
R-TG01-0811-N;R-TG01-0811-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;20;monitor;
R-TG01-0859-S;R-TG01-0859-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;21;monitor;
R-TG01-0909-S;R-TG01-0909-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;22;monitor;
R-TG01-0958-S;R-TG01-0958-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;23;monitor;
R-TG01-1007-S;R-TG01-1007-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;24;monitor;
R-TG01-1057-N;R-TG01-1057-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;25;monitor;
R-TG01-1105-S;R-TG01-1105-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;26;monitor;
R-TG01-1156-N;R-TG01-1156-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;27;monitor;
R-TG01-1203-N;R-TG01-1203-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;28;monitor;
R-TG01-1256-N;R-TG01-1256-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;29;monitor;
R-TG01-1303-S;R-TG01-1303-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;30;monitor;
R-TG01-1351-S;R-TG01-1351-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;31;monitor;
R-TG01-1401-N;R-TG01-1401-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;32;monitor;
R-TG01-1450-N;R-TG01-1450-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;33;monitor;
R-TG01-1499-N;R-TG01-1499-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;34;monitor;
R-TG01-1547-N;R-TG01-1547-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;35;monitor;
R-TG01-1597-S;R-TG01-1597-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;36;monitor;
R-TG01-1644-S;R-TG01-1644-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;37;monitor;
R-TG01-1701-N;R-TG01-1701-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;38;monitor;
R-TG01-1702-N;R-TG01-1702-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;39;monitor;
R-TG01-1702-S;R-TG01-1702-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;40;monitor;
R-TG01-1752-S;R-TG01-1752-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;41;monitor;
R-TG01-1753-N;R-TG01-1753-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;42;monitor;
R-TG01-1757-N;R-TG01-1757-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;43;monitor;
R-TG01-1805-S;R-TG01-1805-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;44;monitor;
R-TG01-1854-N;R-TG01-1854-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;45;monitor;
R-TG01-1905-N;R-TG01-1905-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;46;monitor;
R-TG01-1953-S;R-TG01-1953-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;47;monitor;
R-TG01-1970-N;R-TG01-1970-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;48;monitor;
R-TG01-1971-S;R-TG01-1971-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;49;monitor;
R-TG01-2014-S;R-TG01-2014-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;50;monitor;
R-TG01-2015-N;R-TG01-2015-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;51;monitor;
R-TG01-2040-S;R-TG01-2040-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;52;monitor;
R-TG01-2082-S;R-TG01-2082-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;53;monitor;
R-TG01-2127-S;R-TG01-2127-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;54;monitor;
R-TG01-2183-N;R-TG01-2183-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;55;monitor;
R-TG01-2226-S;R-TG01-2226-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;56;monitor;
R-TG01-2271-S;R-TG01-2271-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;57;monitor;
R-TG01-2320-S;R-TG01-2320-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;58;monitor;
R-TG01-2375-S;R-TG01-2375-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;59;monitor;
R-TG01-2424-S;R-TG01-2424-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;60;monitor;
R-TG01-2479-S;R-TG01-2479-S;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;61;monitor;
R-TG01-2525-N;R-TG01-2525-N;http:\/\/192.168.88.170:3000\/api\/v2\/generic\/;62;monitor;
