device_name;session_uid;url_publisher;read_permission;write_permission;endpoint
Alsasua;Alsasua;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@ALSASUA_A_1_398_440.JPG'
Etxegarate;Etxegarate;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@ETXEGARATE_A_1_404_902.JPG'
Arbizu;Arbizu;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@ARBIZU_A_10 18_430.JPG'
Zizur Mayor;Zizur Mayor;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@CIZUR_A_12_4_400.JPG'
Irurtzun;Irurtzun;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@IRURTZUN_A15_PK113.JPG'
Leitza;Leitza;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@LEITZA_A_15_139_600.JPG'
Pagozelai;Pagozelai;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@PAGOZELAI_A_15_134_450.JPG'
Lekunberri;Lekunberri;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@LEKUNBERRI_A_15_127_540.JPG'
Areta;Areta;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@ARETA_PA_30_5_700.JPG'
Berriozar;Berriozar;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@DOMO_BERRIOZAR_PA_30_PK_18_200.JPG'
Talluntxe;Talluntxe;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@DOMO_TALLUNTXE_PA_30_PK_0_200.JPG'
Cordovilla;Cordovilla;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@CORDOVILLA_PA_32_0_400.JPG'
Belagua;Belagua;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@BELAGUA_EL_FERIAL_PK_55.JPG'
Tudela;Tudela;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@DOMO_TUDELA_A_68_PK_95_500.JPG'
Arre;Arre;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@EXT_FRA_ARRE_N_121_A_PK_5_600.JPG'
Ezcaba;Ezcaba;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@EXT_PNA_COTUP_PA_35_PK_0_00.JPG'
Tunel_de_Belate;Tunel_de_Belate;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@BELATE_NORTE_N_121_A_PK_31_110.JPG'
Tunel_de_Yesa;Tunel_de_Yesa;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@YESA_PAMPLONA_A_21_PK_48_580.JPG'
Tunel_del_Perdon;Tunel_del_Perdon;http:\/\/192.168.88.163:3000\/api\/v2\/generic\/;monitor;;'http://administracionelectronica.navarra.es/AccesoFicheros/DownloadFile.aspx?CodigoCompleto=camarascarreteras@@@PERDON_ESTELLA_A_12_PK_13_150.JPG'
