device_name;session_uid;url_publisher;endpoint
MAP-TV-1;MAP-TV-1;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-2;MAP-TV-2;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-3;MAP-TV-3;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-4;MAP-TV-4;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-5;MAP-TV-5;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-6;MAP-TV-6;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-7;MAP-TV-7;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-8;MAP-TV-8;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-9;MAP-TV-9;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
MAP-TV-10;MAP-TV-10;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TVD-1CA;TUN-TVD-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TVD-1MA;TUN-TVD-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-1CA;TUN-TV-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-2CA;TUN-TV-2CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-3CA;TUN-TV-3CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-4CA;TUN-TV-4CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-5CA;TUN-TV-5CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-6CA;TUN-TV-6CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-7CA;TUN-TV-7CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-8CA;TUN-TV-8CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-9CA;TUN-TV-9CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-10CA;TUN-TV-10CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-11CA;TUN-TV-11CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-2GA;TUN-TV-2GA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-1GA;TUN-TV-1GA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-1MA;TUN-TV-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-2MA;TUN-TV-2MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-3MA;TUN-TV-3MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-4MA;TUN-TV-4MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-5MA;TUN-TV-5MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-6MA;TUN-TV-6MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-7MA;TUN-TV-7MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-8MA;TUN-TV-8MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
TUN-TV-9MA;TUN-TV-9MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;'http://109.206.96.58:8080/'
