device_name;source_name;ip;measure_port(i);alarm_port(i);url_publisher;offset_fan_state(i);offset_fan_cmd(i);offset_fan_vibration(i);offset_front_bearing_temperature(i);offset_back_bearing_temperature(i);offset_windings_temperature_alarm(i);offset_windings_sensor_alarm(i);offset_fan_switch(i);offset_fan_gear(i);offset_vibration_sensor_alarm(i);offset_front_motor_bearing_sensor_alarm(i);offset_back_motor_bearing_sensor_alarm(i)
TUN-VENT-VF1-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2244;8050;2372;2373;2374;170;171;172;173;174;175;176
TUN-VENT-VF2-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2245;8051;2375;2376;2377;177;178;179;180;181;182;183
TUN-VENT-VF3-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2246;8052;2378;2379;2380;184;185;186;187;188;189;190
TUN-VENT-VF4-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2247;8053;2381;2382;2383;191;192;193;194;195;196;197
TUN-VENT-VF5-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2248;8054;2384;2385;2386;198;199;200;201;202;203;204
TUN-VENT-VF6-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2249;8055;2387;2388;2389;205;206;207;208;209;210;211
TUN-VENT-VF7-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2250;8056;2390;2391;2392;212;213;214;215;216;217;218
TUN-VENT-VF8-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2251;8057;2393;2394;2395;219;220;221;222;223;224;225
TUN-VENT-VF9-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2252;8058;2396;2397;2398;226;227;228;229;230;231;232
TUN-VENT-VF10-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2253;8059;2399;2400;2401;233;234;235;236;237;238;239
TUN-VENT-VF11-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2254;8060;2402;2403;2404;240;241;242;243;244;245;246
TUN-VENT-VF12-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2255;8061;2405;2406;2407;247;248;249;250;251;252;253
TUN-VENT-VF13-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2256;8062;2408;2409;2410;254;255;256;257;258;259;260
TUN-VENT-VF14-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2257;8063;2411;2412;2413;261;262;263;264;265;266;267
TUN-VENT-VF15-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2258;8064;2414;2415;2416;268;269;270;271;272;273;274
TUN-VENT-VF16-CA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2259;8065;2417;2418;2419;275;276;277;278;279;280;281
TUN-VENT-VF1-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2260;8066;2420;2421;2422;282;283;284;285;286;287;288
TUN-VENT-VF2-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2261;8067;2423;2424;2425;289;290;291;292;293;294;295
TUN-VENT-VF3-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2262;8068;2426;2427;2428;296;297;298;299;300;301;302
TUN-VENT-VF4-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2263;8069;2429;2430;2431;303;304;305;306;307;308;309
TUN-VENT-VF5-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2264;8070;2432;2433;2434;310;311;312;313;314;315;316
TUN-VENT-VF6-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2265;8071;2435;2436;2437;317;318;319;320;321;322;323
TUN-VENT-VF7-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2266;8072;2438;2439;2440;324;325;326;327;328;329;330
TUN-VENT-VF8-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2267;8073;2441;2442;2443;331;332;333;334;335;336;337
TUN-VENT-VF9-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2268;8074;2444;2445;2446;338;339;340;341;342;343;344
TUN-VENT-VF10-MA;FAN;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2269;8075;2447;2448;2449;345;346;347;348;349;350;351
