device_name;url_publisher;source_name;host;measure_port(i);alarm_port(i);offset_door_open(i);offset_left_ext(i);offset_right_ext(i);offset_alarm_fa(i)
TUN-SOS-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1080;1096;1109;1120
TUN-SOS-2CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1084;1097;1110;1121
TUN-SOS-3CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1085;1098;1111;1122
TUN-SOS-4CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1086;1099;1112;1123
TUN-SOS-5CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1087;1100;1113;1124
TUN-SOSE-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1088;1101;1114;1125
TUN-SOSE-2CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1089;1102;1115;1126
TUN-SOS-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1090;1103;1116;1127
TUN-SOS-2MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1091;1104;1117;1128
TUN-SOS-3MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1092;1105;1118;1129
TUN-SOS-4MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1093;1106;1119;1130
TUN-SOSE-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1094;1107;1120;1131
TUN-SOSE-2MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;SOS;192.168.88.74;504;503;1095;1108;1121;1132
