device_name;url_publisher
TUN-PLC-CGBT;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-2CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-3CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-4CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-5CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCG-CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLC-1CA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLC-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-1MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-2MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-3MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCSI-4MA;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
TUN-PLCL-1;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
