device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_state(i)
TUN-MAG-CSA-SAI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3970
TUN-INT-CSA-SAI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3971
TUN-MAGDIF-AA1-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3972
TUN-MAGDIF-AA15-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3973
TUN-MAGDIF-AA2-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3974
TUN-MAGDIF-AA16-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3975
TUN-MAGDIF-AA11-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3976
TUN-MAGDIF-AA21-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3977
TUN-MAGDIF-AA10-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3978
TUN-MAGDIF-AA20-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3979
TUN-MAGDIF-AE14-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3980
TUN-MAGDIF-AE9-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3981
TUN-MAGDIF-A29-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3982
TUN-MAGDIF-A30-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3983
TUN-MAGDIF-A31-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3984
TUN-MAGDIF-A32-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3985
TUN-MAG-CSA-RED;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3986
TUN-INT-CSA-RED;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3987
TUN-MAGDIF-A3-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3988
TUN-MAGDIF-A5-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3989
TUN-MAGDIF-A4-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3990
TUN-MAGDIF-A6-SC;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3991
TUN-MAGDIF-A13-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3992
TUN-MAGDIF-A23-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3993
TUN-MAGDIF-A12-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3994
TUN-MAGDIF-A22-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3995
TUN-MAGDIF-A33-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3996
TUN-MAGDIF-A34-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3997
TUN-MAGDIF-A35-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3998
TUN-MAGDIF-A36-SM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;3999
TUN-MAG-CGBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4000
TUN-INT-CGBT-CSA-RED;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4001
TUN-MAG-CGBT-SERV-AUX-GE;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4002
TUN-INT-CGBT-COM-RED;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4003
TUN-INT-CGBT-COM-GRUPO;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4004
TUN-INT-CGBT-BAT-COND;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4005
TUN-INT-CGBT-CSV-TSM;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4006
TUN-MAG-GEN-CSSAI;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4007
TUN-INT-CS-EDIF;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4008
TUN-INT-CGBT-CSV;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4009
TUN-MAG-CGBT-CSEDBT;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4010
TUN-VENT-INT-VF1-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4011
TUN-VENT-INT-VF2-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4012
TUN-VENT-INT-VF3-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4013
TUN-VENT-INT-VF4-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4014
TUN-VENT-INT-VF5-CA;INTERRUPTOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;4015
