device_name;source_name;host;measure_port(i);alarm_port(i);url_publisher;offset_alarm(i);offset_fail(i)
TUN-CT-CGBT-PULS-1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2582;2583
TUN-CT-ITS-PULS-1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2584;2585
TUN-CT-PCI-PULS-1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2586;2587
HOSP-PUL-L1-ORTH;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2588;2589
HOSP-PUL-L1-REH;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2590;2591
HOSP-PUL-L1-VAR;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2592;2593
HOSP-PUL-L1-ENT;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2594;2595
HOSP-PUL-L1-SPIC;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2596;2597
HOSP-PUL-L1-CENT;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2598;2599
HOSP-PUL-L1-TOW;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2600;2601
HOSP-PUL-L1-HEON;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2602;2603
HOSP-PUL-L1-RHE;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2604;2605
HOSP-PUL-L1-END;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2606;2607
HOSP-PUL-L1-OURE;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2608;2609
HOSP-PUL-L1-EME;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2610;2611
HOSP-PUL-L1-OUT1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2612;2613
HOSP-PUL-L1-OUT2;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2614;2615
HOSP-PUL-L2-VAR;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2616;2617
HOSP-PUL-L2-MIN;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2618;2619
HOSP-PUL-L2-CENT1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2620;2621
HOSP-PUL-L2-CENT2;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2622;2623
HOSP-PUL-L2-CENT3;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2624;2625
HOSP-PUL-L2-TOW;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2626;2627
HOSP-PUL-L2-GAS;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2628;2629
HOSP-PUL-L2-PED;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2630;2631
HOSP-PUL-L2-CAR;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2632;2633
HOSP-PUL-L3-CENT1;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2634;2635
HOSP-PUL-L3-CENT2;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2636;2637
HOSP-PUL-L3-CENT3;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2638;2639
HOSP-PUL-L3-TOW;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2640;2641
HOSP-PUL-L3-NEP;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2642;2643
HOSP-PUL-L3-NEU;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2644;2645
HOSP-PUL-L3-OUT;PULSADOR;192.168.88.74;502;503;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/;2646;2647
