device_name;session_uid;ip;url_publisher
MAP-NTCIP-1;MAP-NTCIP-1;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-2;MAP-NTCIP-2;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-3;MAP-NTCIP-3;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-4;MAP-NTCIP-4;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-5;MAP-NTCIP-5;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-6;MAP-NTCIP-6;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-7;MAP-NTCIP-7;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-8;MAP-NTCIP-8;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-9;MAP-NTCIP-9;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-10;MAP-NTCIP-10;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-11;MAP-NTCIP-11;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
MAP-NTCIP-12;MAP-NTCIP-12;192.168.88.30;http:\/\/192.168.88.30:3000\/api\/v2\/generic\/
