device_name;session_uid;PLC_ip;PLC_name;PLC_port(i);url_publisher;endpoint;door_open_offset(i)
00.3-ASC-DOM-01;00.3-ASC-DOM-01;10.60.1.2;00.3-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.2';0
00.8-ASC-DOM-01;00.8-ASC-DOM-01;10.60.1.3;00.8-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.3';0
01.1-ECT-DOM-01;01.1-ECT-DOM-01;10.60.1.1;01.1-ECT-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.1';0
01.2-ASC-DOM-01;01.2-ASC-DOM-01;10.60.1.4;01.2-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.4';0
01.8-MR1-DOM-01;01.8-MR1-DOM-01;10.60.1.5;01.8-MR1-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.5';0
01.8-MR1-DOM-02;01.8-MR1-DOM-02;10.60.1.6;01.8-MR1-PLC-02;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.6';0
02.3-ASC-DOM-01;02.3-ASC-DOM-01;10.60.1.7;02.3-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.7';0
02.8-ASC-DOM-01;02.8-ASC-DOM-01;10.60.1.8;02.8-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.8';0
03.3-ASC-DOM-01;03.3-ASC-DOM-01;10.60.1.9;03.3-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.9';0
03.8-ASC-DOM-01;03.8-ASC-DOM-01;10.60.1.10;03.8-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.1.10';0
04.3-MR2-DOM-01;04.3-MR2-DOM-01;10.60.2.10;04.3-MR2-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.10';0
04.4-MR2-DOM-01;04.4-MR2-DOM-01;10.60.2.9;04.4-MR2-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.9';0
04.6-ASC-DOM-01;04.6-ASC-DOM-01;10.60.2.8;04.6-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.8';0
05.1-ASC-DOM-01;05.1-ASC-DOM-01;10.60.2.7;05.1-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.7';0
05.5-ASC-DOM-01;05.5-ASC-DOM-01;10.60.2.6;05.5-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.6';0
00.0-EBT-DOM-01;00.0-EBT-DOM-01;10.60.2.1;00.0-EBT-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.1';0
06.0-ASC-DOM-01;06.0-ASC-DOM-01;10.60.2.5;06.0-ASC-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.5';0
00.3-AAE-DOM-01;00.3-AAE-DOM-01;10.60.2.4;00.3-AAE-PLC-01;502;http:\/\/10.140.31.105:3000\/api\/v2\/generic\/;'http://10.20.2.4';0
