item;element_subtype;alias;description;sessionuid;road;stretchs;pk;param1_brand;param2_model
1;11;SCV 06;SCV 06;SCV 06;UF 1;UF 1;0+010;Revenga;Revenga
2;11;SCV 08;SCV 08;SCV 08;UF 1;UF 1;0+020;Revenga;Revenga
3;11;SCV 11;SCV 11;SCV 11;UF 1;UF 1;0+030;Revenga;Revenga
4;11;SCV 12;SCV 12;SCV 12;UF 1;UF 1;0+040;Revenga;Revenga
5;11;SCV 13;SCV 13;SCV 13;UF 1;UF 1;0+050;Revenga;Revenga
6;11;SCV 14;SCV 14;SCV 14;UF 1;UF 1;0+060;Revenga;Revenga
7;11;SCV 15;SCV 15;SCV 15;UF 1;UF 1;0+070;Revenga;Revenga
8;11;SCV 16;SCV 16;SCV 16;UF 1;UF 1;0+080;Revenga;Revenga
9;11;SCV 17;SCV 17;SCV 17;UF 1;UF 1;0+090;Revenga;Revenga
10;11;SCV 18;SCV 18;SCV 18;UF 1;UF 1;0+100;Revenga;Revenga
11;11;SCV 23;SCV 23;SCV 23;UF 1;UF 1;0+110;Revenga;Revenga
12;11;SCV 24;SCV 24;SCV 24;UF 1;UF 1;0+120;Revenga;Revenga
13;11;SCV 25;SCV 25;SCV 25;UF 1;UF 1;0+130;Revenga;Revenga
14;11;SCV 28;SCV 28;SCV 28;UF 1;UF 1;0+140;Revenga;Revenga
15;11;SCV 29;SCV 29;SCV 29;UF 1;UF 1;0+150;Revenga;Revenga
16;11;SCV 30;SCV 30;SCV 30;UF 1;UF 1;0+160;Revenga;Revenga
17;11;SCV 31;SCV 31;SCV 31;UF 1;UF 1;0+170;Revenga;Revenga
18;22;PMV 01;PMV 01;PMV 01;UF 1;UF 1;0+180;Revenga;Revenga
19;22;PMV 02;PMV 02;PMV 02;UF 1;UF 1;0+190;Revenga;Revenga
20;22;PMV 03;PMV 03;PMV 03;UF 1;UF 1;0+200;Revenga;Revenga
21;22;PMV 04;PMV 04;PMV 04;UF 1;UF 1;0+210;Revenga;Revenga
22;22;PMV 05;PMV 05;PMV 05;UF 1;UF 1;0+220;Revenga;Revenga
23;22;PMV 06;PMV 06;PMV 06;UF 1;UF 1;0+230;Revenga;Revenga
24;22;PMV 07;PMV 07;PMV 07;UF 1;UF 1;0+240;Revenga;Revenga
25;22;PMV 10;PMV 10;PMV 10;UF 1;UF 1;0+240;Revenga;Revenga
26;22;PMV 13;PMV 13;PMV 13;UF 1;UF 1;0+240;Revenga;Revenga
27;22;PMV 14;PMV 14;PMV 14;UF 1;UF 1;0+240;Revenga;Revenga
28;22;PMV 15;PMV 15;PMV 15;UF 1;UF 1;0+240;Revenga;Revenga
29;22;PMV 22;PMV 22;PMV 22;UF 1;UF 1;0+240;Revenga;Revenga
30;22;PMV 23;PMV 23;PMV 23;UF 1;UF 1;0+240;Revenga;Revenga
31;22;PMV 24;PMV 24;PMV 24;UF 1;UF 1;0+240;Revenga;Revenga
32;22;PMV 25;PMV 25;PMV 25;UF 1;UF 1;0+240;Revenga;Revenga
33;22;PMV 27;PMV 27;PMV 27;UF 1;UF 1;0+240;Revenga;Revenga
34;22;PMV 28;PMV 28;PMV 28;UF 1;UF 1;0+240;Revenga;Revenga
35;22;PMV 29;PMV 29;PMV 29;UF 1;UF 1;0+240;Revenga;Revenga
36;22;PMV 30;PMV 30;PMV 30;UF 1;UF 1;0+240;Revenga;Revenga
37;22;PMV 36;PMV 36;PMV 36;UF 1;UF 1;0+240;Revenga;Revenga
38;22;PMV 37;PMV 37;PMV 37;UF 1;UF 1;0+240;Revenga;Revenga
39;22;PMV 39;PMV 39;PMV 39;UF 1;UF 1;0+240;Revenga;Revenga
40;22;PMV 40;PMV 40;PMV 40;UF 1;UF 1;0+240;Revenga;Revenga
41;22;PMV 41;PMV 41;PMV 41;UF 1;UF 1;0+240;Revenga;Revenga
42;22;PMV 42;PMV 42;PMV 42;UF 1;UF 1;0+240;Revenga;Revenga
43;22;PMV 45;PMV 45;PMV 45;UF 1;UF 1;0+240;Revenga;Revenga
