item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure;param2_entrance_tunnel_distance
1;RV-LUM-1CA;RV-LUM-1CA;RV-LUM-1CA;AP7 - AUSOL I;RV-TUNEL;177+384;CA;SendValuesToIllumination.groovy;87
2;RV-LUM-1MA;RV-LUM-1MA;RV-LUM-1MA;AP7 - AUSOL I;RV-TUNEL;177+909;MA;SendValuesToIllumination.groovy;96
3;MM-LUM-1CA;MM-LUM-1CA;MM-LUM-1CA;AP7 - AUSOL I;MM-TUNEL;166+090;CA;SendValuesToIllumination.groovy;-10
4;MM-LUM-1MA;MM-LUM-1MA;MM-LUM-1MA;AP7 - AUSOL I;MM-TUNEL;166+717;MA;SendValuesToIllumination.groovy;-10
5;LQ-LUM-1CA;LQ-LUM-1CA;LQ-LUM-1CA;AP7 - AUSOL I;LQ-TUNEL;173+594;CA;SendValuesToIllumination.groovy;0
6;LQ-LUM-1MA;LQ-LUM-1MA;LQ-LUM-1MA;AP7 - AUSOL I;LQ-TUNEL;172+557;MA;SendValuesToIllumination.groovy;0
7;CH-LUM-1MA;CH-LUM-1MA;CH-LUM-1MA;AP7 - AUSOL I;CH-TUNEL;198+980;MA;SendValuesToIllumination.groovy;0
8;CH-LUM-1CA;CH-LUM-1CA;CH-LUM-1CA;AP7 - AUSOL I;CH-TUNEL;200+032;CA;SendValuesToIllumination.groovy;0
9;CAS-LUM-1MA;CAS-LUM-1MA;CAS-LUM-1MA;AP7 - AUSOL II;CAS-TUNEL;151+953;MA;SendValuesToIllumination.groovy;0
10;CAS-LUM-1CA;CAS-LUM-1CA;CAS-LUM-1CA;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;SendValuesToIllumination.groovy;0
11;COR-LUM-1MA;COR-LUM-1MA;COR-LUM-1MA;AP7 - AUSOL II;COR-TUNEL;151+953;MA;SendValuesToIllumination.groovy;0
12;COR-LUM-1CA;COR-LUM-1CA;COR-LUM-1CA;AP7 - AUSOL II;COR-TUNEL;151+355;CA;SendValuesToIllumination.groovy;0
13;NG-LUM-1MA;NG-LUM-1MA;NG-LUM-1MA;AP7 - AUSOL I;NG-TUNEL;179+415;MA;SendValuesToIllumination.groovy;0
14;NG-LUM-1CA;NG-LUM-1CA;NG-LUM-1CA;AP7 - AUSOL I;NG-TUNEL;180+302;CA;SendValuesToIllumination.groovy;0
15;STM2-LUM-1MA;STM2-LUM-1MA;STM2-LUM-1MA;AP7 - AUSOL II;STMII-TUNEL;150+908;MA;SendValuesToIllumination.groovy;0
16;STM2-LUM-1CA;STM2-LUM-1CA;STM2-LUM-1CA;AP7 - AUSOL II;STMII-TUNEL;150+128;CA;SendValuesToIllumination.groovy;0
