item;alias;description;sessionuid;road;stretchs;pk;sentido;on_change_measure
1;STMI-FOT-1CA;STMI-FOT-1CA;STMI-FOT-1CA;AP7 - AUSOL I;STMI-TUNEL;195+629;CA;SendValuesToIllumination.groovy
2;LQ-FOT-1MA;LQ-FOT-1MA;LQ-FOT-1MA;AP7 - AUSOL I;LQ-TUNEL;173+900;MA;SendValuesToIllumination.groovy
3;RV-FOT-1CA;RV-FOT-1CA;RV-FOT-1CA;AP7 - AUSOL I;RV-TUNEL;177+297;CA;SendValuesToIllumination.groovy
4;MM-FOT-1MA;MM-FOT-1MA;MM-FOT-1MA;AP7 - AUSOL I;MM-TUNEL;166+100;CA;SendValuesToIllumination.groovy
5;CH-FOT-1CA;CH-FOT-1CA;CH-FOT-1CA;AP7 - AUSOL I;CH-TUNEL;166+100;CA;SendValuesToIllumination.groovy
6;CAS-FOT-1MA;CAS-FOT-1MA;CAS-FOT-1MA;AP7 - AUSOL II;CAS-TUNEL;147+505;MA;SendValuesToIllumination.groovy
7;CAS-FOT-1CA;CAS-FOT-1CA;CAS-FOT-1CA;AP7 - AUSOL II;COR-TUNEL;152+000;CA;SendValuesToIllumination.groovy
8;COR-FOT-1MA;COR-FOT-1MA;COR-FOT-1MA;AP7 - AUSOL II;COR-TUNEL;151+225;MA;SendValuesToIllumination.groovy
9;COR-FOT-1CA;COR-FOT-1CA;COR-FOT-1CA;AP7 - AUSOL II;COR-TUNEL;199+593;CA;SendValuesToIllumination.groovy
10;STM2-FOT-1MA;STM2-FOT-1MA;STM2-FOT-1MA;AP7 - AUSOL II;STMII-TUNEL;150+243;MA;SendValuesToIllumination.groovy
11;EST-FOT-1CA;EST-FOT-1CA;EST-FOT-1CA;AP7 - AUSOL II;EST-TUNEL;177+229;CA;SendValuesToIllumination.groovy
12;NG-FOT-1CA;NG-FOT-1CA;NG-FOT-1CA;AP7 - AUSOL I;NG-TUNEL;177+712;CA;SendValuesToIllumination.groovy
