item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido
1;2;MM-CUAD-PRES-GAL-CA;MM-CUAD-PRES-GAL-CA;MM-CUAD-PRES-GAL-CA;AP7 - AUSOL I;MM-TUNEL;166+720;CA
2;2;MM-CUAD-PRES-GAL-MA;MM-CUAD-PRES-GAL-MA;MM-CUAD-PRES-GAL-MA;AP7 - AUSOL I;MM-TUNEL;166+880;MA
3;2;LQ-CUAD-PRES-GAL-CA;LQ-CUAD-PRES-GAL-CA;LQ-CUAD-PRES-GAL-CA;AP7 - AUSOL I;LQ-TUNEL;166+720;CA
4;2;LQ-CUAD-PRES-GAL-MA;LQ-CUAD-PRES-GAL-MA;LQ-CUAD-PRES-GAL-MA;AP7 - AUSOL I;LQ-TUNEL;166+720;CA
5;2;CH-CUAD-PRES-GAL-CA;CH-CUAD-PRES-GAL-CA;CH-CUAD-PRES-GAL-CA;AP7 - AUSOL I;CH-TUNEL;166+720;CA
6;2;CH-CUAD-PRES-GAL-MA;CH-CUAD-PRES-GAL-MA;CH-CUAD-PRES-GAL-MA;AP7 - AUSOL I;CH-TUNEL;166+880;MA
7;2;CAS-CUAD-PRES-GAL-1CA;CAS-CUAD-PRES-GAL-1CA;CAS-CUAD-PRES-GAL-1CA;AP7 - AUSOL II;CAS-TUNEL;166+720;CA
8;2;CAS-CUAD-PRES-GAL-1MA;CAS-CUAD-PRES-GAL-1MA;CAS-CUAD-PRES-GAL-1MA;AP7 - AUSOL II;CAS-TUNEL;166+880;MA
9;2;CAS-CUAD-PRES-GAL-2CA;CAS-CUAD-PRES-GAL-2CA;CAS-CUAD-PRES-GAL-2CA;AP7 - AUSOL II;CAS-TUNEL;166+720;CA
10;2;CAS-CUAD-PRES-GAL-2MA;CAS-CUAD-PRES-GAL-2MA;CAS-CUAD-PRES-GAL-2MA;AP7 - AUSOL II;CAS-TUNEL;166+880;MA
11;2;COR-CUAD-PRES-GAL-1CA;COR-CUAD-PRES-GAL-1CA;COR-CUAD-PRES-GAL-1CA;AP7 - AUSOL II;COR-TUNEL;166+720;CA
12;2;COR-CUAD-PRES-GAL-1MA;COR-CUAD-PRES-GAL-1MA;COR-CUAD-PRES-GAL-1MA;AP7 - AUSOL II;COR-TUNEL;166+880;MA
13;2;COR-CUAD-PRES-GAL-2CA;COR-CUAD-PRES-GAL-2CA;COR-CUAD-PRES-GAL-2CA;AP7 - AUSOL II;COR-TUNEL;166+720;CA
14;2;COR-CUAD-PRES-GAL-2MA;COR-CUAD-PRES-GAL-2MA;COR-CUAD-PRES-GAL-2MA;AP7 - AUSOL II;COR-TUNEL;166+880;MA
15;2;COR-CUAD-PRES-GAL-3CA;COR-CUAD-PRES-GAL-3CA;COR-CUAD-PRES-GAL-3CA;AP7 - AUSOL II;COR-TUNEL;166+720;CA
16;2;COR-CUAD-PRES-GAL-3MA;COR-CUAD-PRES-GAL-3MA;COR-CUAD-PRES-GAL-3MA;AP7 - AUSOL II;COR-TUNEL;166+880;MA
17;2;NG-CUAD-PRES-GAL-CA;NG-CUAD-PRES-GAL-CA;NG-CUAD-PRES-GAL-CA;AP7 - AUSOL I;NG-TUNEL;166+720;CA
18;2;NG-CUAD-PRES-GAL-MA;NG-CUAD-PRES-GAL-MA;NG-CUAD-PRES-GAL-MA;AP7 - AUSOL I;NG-TUNEL;166+880;MA
19;2;STM2-CUAD-PRES-GAL-CA;STM2-CUAD-PRES-GAL-CA;STM2-CUAD-PRES-GAL-CA;AP7 - AUSOL II;STMII-TUNEL;166+720;CA
20;2;STM2-CUAD-PRES-GAL-MA;STM2-CUAD-PRES-GAL-MA;STM2-CUAD-PRES-GAL-MA;AP7 - AUSOL II;STMII-TUNEL;166+880;MA
