item;element_subtype;alias;description;sessionuid;road;stretchs;pk;sentido;param1_brand;param2_model;param4_config_json
1;18;RV-PMV-5MA;RV-PMV-5MA;RV-PMV-5MA;AP7 - AUSOL I;RV-TUNEL;176+972;MA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
2;18;RV-PMV-6CA;RV-PMV-6CA;RV-PMV-6CA;AP7 - AUSOL I;RV-TUNEL;178+206;CA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
3;18;MM-PMV-1MA;MM-PMV-1MA;MM-PMV-1MA;AP7 - AUSOL I;MM-TUNEL;167+217;MA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
4;18;MM-PMV-2CA;MM-PMV-2CA;MM-PMV-2CA;AP7 - AUSOL I;MM-TUNEL;167+802;CA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
5;22;STMI-PMV-24CA;STMI-PMV-24CA;STMI-PMV-24CA;AP7 - AUSOL I;STMI-TUNEL;194+449;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
6;22;STMI-PMV-23MA;STMI-PMV-23MA;STMI-PMV-23MA;AP7 - AUSOL I;STMI-TUNEL;196+799;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
7;18;LQ-PMV-4CA;LQ-PMV-4CA;LQ-PMV-4CA;AP7 - AUSOL II;LQ-TUNEL;172+655;CA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
8;18;LQ-PMV-3MA;LQ-PMV-3MA;LQ-PMV-3MA;AP7 - AUSOL II;LQ-TUNEL;173+437;MA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
9;18;CH-PMV-7MA;CH-PMV-7MA;CH-PMV-7MA;AP7 - AUSOL I;CH-TUNEL;14+425;MA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":18},{"zone":2,"type":"text","maxCharsPerLine":12}]
10;22;CH-PMV-8CA;CH-PMV-8CA;CH-PMV-8CA;AP7 - AUSOL I;CH-TUNEL;14+425;CA;Arduino;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
11;22;CAS-PMV-15CA;CAS-PMV-15CA;CAS-PMV-15CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
12;16;CAS-PMVI-1CA;CAS-PMVI-1CA;CAS-PMVI-1CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
13;16;CAS-PMVI-2CA;CAS-PMVI-2CA;CAS-PMVI-2CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
14;22;CAS-PMV-14MA;CAS-PMV-14MA;CAS-PMV-14MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
15;16;CAS-PMVI-1MA;CAS-PMVI-1MA;CAS-PMVI-1MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
16;16;CAS-PMVI-2MA;CAS-PMVI-2MA;CAS-PMVI-2MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
17;12;CAS-AF-1CA;CAS-AF-1CA;CAS-AF-1CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
18;12;CAS-AF-2CA;CAS-AF-2CA;CAS-AF-2CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
19;12;CAS-AF-3CA;CAS-AF-3CA;CAS-AF-3CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
20;12;CAS-AF-4CA;CAS-AF-4CA;CAS-AF-4CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
21;12;CAS-AF-5CA;CAS-AF-5CA;CAS-AF-5CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
22;12;CAS-AF-6CA;CAS-AF-6CA;CAS-AF-6CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
23;11;CAS-CLV-1CA;CAS-CLV-1CA;CAS-CLV-1CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
24;11;CAS-CLV-2CA;CAS-CLV-2CA;CAS-CLV-2CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
25;11;CAS-CLV-3CA;CAS-CLV-3CA;CAS-CLV-3CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
26;11;CAS-CLV-4CA;CAS-CLV-4CA;CAS-CLV-4CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
27;11;CAS-CLV-5CA;CAS-CLV-5CA;CAS-CLV-5CA;AP7 - AUSOL I;CAS-TUNEL;14+425;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
28;12;CAS-AF-1MA;CAS-AF-1MA;CAS-AF-1MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
29;12;CAS-AF-2MA;CAS-AF-2MA;CAS-AF-2MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
30;12;CAS-AF-3MA;CAS-AF-3MA;CAS-AF-3MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
31;12;CAS-AF-4MA;CAS-AF-4MA;CAS-AF-4MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
32;12;CAS-AF-5MA;CAS-AF-5MA;CAS-AF-5MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
33;12;CAS-AF-6MA;CAS-AF-6MA;CAS-AF-6MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
34;11;CAS-CLV-1MA;CAS-CLV-1MA;CAS-CLV-1MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
35;11;CAS-CLV-2MA;CAS-CLV-2MA;CAS-CLV-2MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
36;11;CAS-CLV-3MA;CAS-CLV-3MA;CAS-CLV-3MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
37;11;CAS-CLV-4MA;CAS-CLV-4MA;CAS-CLV-4MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
38;11;CAS-CLV-5MA;CAS-CLV-5MA;CAS-CLV-5MA;AP7 - AUSOL I;CAS-TUNEL;14+425;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
39;22;COR-PMV-17CA;COR-PMV-17CA;COR-PMV-17CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":22},{"zone":2,"type":"text","maxCharsPerLine":12},{"zone":3,"type":"graphic","vms_group_id":22}]
40;16;COR-PMVI-1MA;COR-PMVI-1MA;COR-PMVI-1MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
41;16;COR-PMVI-2MA;COR-PMVI-2MA;COR-PMVI-2MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
42;16;COR-PMVI-1CA;COR-PMVI-1CA;COR-PMVI-1CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
43;16;COR-PMVI-2CA;COR-PMVI-2CA;COR-PMVI-2CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"text","maxCharsPerLine":12}]
44;12;COR-AF-1MA;COR-AF-1MA;COR-AF-1MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
45;12;COR-AF-2MA;COR-AF-2MA;COR-AF-2MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
46;12;COR-AF-3MA;COR-AF-3MA;COR-AF-3MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
47;12;COR-AF-4MA;COR-AF-4MA;COR-AF-4MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
48;12;COR-AF-5MA;COR-AF-5MA;COR-AF-5MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
49;12;COR-AF-6MA;COR-AF-6MA;COR-AF-6MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
50;12;COR-AF-1CA;COR-AF-1CA;COR-AF-1CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
51;12;COR-AF-2CA;COR-AF-2CA;COR-AF-2CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
52;12;COR-AF-3CA;COR-AF-3CA;COR-AF-3CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
53;12;COR-AF-4CA;COR-AF-4CA;COR-AF-4CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
54;12;COR-AF-5CA;COR-AF-5CA;COR-AF-5CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
55;12;COR-AF-6CA;COR-AF-6CA;COR-AF-6CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":12}]
56;11;COR-CLV-1MA;COR-CLV-1MA;COR-CLV-1MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
57;11;COR-CLV-2MA;COR-CLV-2MA;COR-CLV-2MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
58;11;COR-CLV-3MA;COR-CLV-3MA;COR-CLV-3MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
59;11;COR-CLV-4MA;COR-CLV-4MA;COR-CLV-4MA;AP7 - AUSOL II;COR-TUNEL;151+925;MA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
60;11;COR-CLV-1CA;COR-CLV-1CA;COR-CLV-1CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
61;11;COR-CLV-2CA;COR-CLV-2CA;COR-CLV-2CA;AP7 - AUSOL II;COR-TUNEL;152+685;CA;Fixalia;DGT;[{"zone":1,"type":"graphic","vms_group_id":11}]
