item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_eru_type;param6_redundante_eru_type;param7_redundant_eru_alias
1;RV-ERU-1-MASTER;RV-ERU-1-MASTER;RV-ERU-1-MASTER;AP7 - AUSOL I;RV-TUNEL;177+307;CA;Redundante;Maestra;RV-ERU-1-SLAVE
2;RV-ERU-1-SLAVE;RV-ERU-1-SLAVE;RV-ERU-1-SLAVE;AP7 - AUSOL I;RV-TUNEL;177+307;CA;Redundante;Esclava;RV-ERU-1-MASTER
3;MM-ERU-1-MASTER;MM-ERU-1-MASTER;MM-ERU-1-MASTER;AP7 - AUSOL I;MM-TUNEL;166+970;CA;Redundante;Maestra;MM-ERU-1-SLAVE
4;MM-ERU-1-SLAVE;MM-ERU-1-SLAVE;MM-ERU-1-SLAVE;AP7 - AUSOL I;MM-TUNEL;166+970;CA;Redundante;Esclava;MM-ERU-1-MASTER
5;STMI-ERU-1-MASTER;STMI-ERU-1-MASTER;STMI-ERU-1-MASTER;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;Redundante;Maestra;STMI-ERU-1-SLAVE
6;STMI-ERU-1-SLAVE;STMI-ERU-1-SLAVE;STMI-ERU-1-SLAVE;AP7 - AUSOL I;STMI-TUNEL;195+719;CA;Redundante;Esclava;STMI-ERU-1-MASTER
7;COR-ERU-1-MASTER;COR-ERU-1-MASTER;COR-ERU-1-MASTER;AP7 - AUSOL II;COR-TUNEL;152+000;CA;Redundante;Maestra;COR-ERU-1-SLAVE
8;COR-ERU-1-SLAVE;COR-ERU-1-SLAVE;COR-ERU-1-SLAVE;AP7 - AUSOL II;COR-TUNEL;152+000;CA;Redundante;Esclava;COR-ERU-1-MASTER
9;LQ-ERU-1-MASTER;LQ-ERU-1-MASTER;LQ-ERU-1-MASTER;AP7 - AUSOL I;LQ-TUNEL;173+626;CA;Redundante;Maestra;LQ-ERU-1-SLAVE
10;LQ-ERU-1-SLAVE;LQ-ERU-1-SLAVE;LQ-ERU-1-SLAVE;AP7 - AUSOL I;LQ-TUNEL;173+626;CA;Redundante;Esclava;LQ-ERU-1-MASTER
11;CAS-ERU-1-MASTER;CAS-ERU-1-MASTER;CAS-ERU-1-MASTER;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;Redundante;Maestra;CAS-ERU-1-SLAVE
12;CAS-ERU-1-SLAVE;CAS-ERU-1-SLAVE;CAS-ERU-1-SLAVE;AP7 - AUSOL II;CAS-TUNEL;151+355;CA;Redundante;Esclava;CAS-ERU-1-MASTER
13;CH-ERU-1-MASTER;CH-ERU-1-MASTER;CH-ERU-1-MASTER;AP7 - AUSOL I;CH-TUNEL;172+626;CA;Redundante;Maestra;CH-ERU-1-SLAVE
14;CH-ERU-1-SLAVE;CH-ERU-1-SLAVE;CH-ERU-1-SLAVE;AP7 - AUSOL I;CH-TUNEL;172+626;CA;Redundante;Esclava;CH-ERU-1-MASTER
15;EST-ERU-1-MASTER;EST-ERU-1-MASTER;EST-ERU-1-MASTER;AP7 - AUSOL II;EST-TUNEL;177+229;CA;Redundante;Maestra;EST-ERU-1-SLAVE
16;EST-ERU-1-SLAVE;EST-ERU-1-SLAVE;EST-ERU-1-SLAVE;AP7 - AUSOL II;EST-TUNEL;177+229;CA;Redundante;Esclava;EST-ERU-1-MASTER
17;STM2-ERU-1-MASTER;STM2-ERU-1-MASTER;STM2-ERU-1-MASTER;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;Redundante;Maestra;STM2-ERU-1-SLAVE
18;STM2-ERU-1-SLAVE;STM2-ERU-1-SLAVE;STM2-ERU-1-SLAVE;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;Redundante;Esclava;STM2-ERU-1-MASTER
19;NG-ERU-1-MASTER;NG-ERU-1-MASTER;NG-ERU-1-MASTER;AP7 - AUSOL I;NG-TUNEL;177+712;CA;Redundante;Maestra;NG-ERU-1-SLAVE
20;NG-ERU-1-SLAVE;NG-ERU-1-SLAVE;NG-ERU-1-SLAVE;AP7 - AUSOL I;NG-TUNEL;177+175;MA;Redundante;Esclava;NG-ERU-1-MASTER
