Parent_type;Child_type;Parent;Child;child_inheritable_state_id
56;57;1;7;
56;57;1;8;
56;57;1;9;
56;57;1;10;
56;57;1;11;
56;57;1;12;
56;57;1;13;
56;57;1;14;
56;57;1;15;
56;57;1;16;
56;57;1;17;
56;57;1;18;
56;57;1;19;
56;57;1;20;
56;57;1;21;
56;57;1;22;
56;57;1;23;
56;57;1;24;
56;57;1;25;
56;57;1;26;
56;57;1;67;
56;57;1;68;
56;57;1;69;
56;57;1;70;
56;57;1;71;
56;57;1;72;
56;57;1;73;
56;57;1;74;
56;57;1;75;
56;57;1;76;
56;57;1;77;
56;57;1;78;
56;57;1;79;
56;57;1;80;
56;57;1;81;
56;57;1;82;
56;57;1;83;
56;57;1;84;
56;57;1;85;
56;57;1;86;
56;57;1;87;
56;57;1;88;
56;57;2;1;
56;57;2;2;
56;57;2;3;
56;57;2;4;
56;57;2;5;
56;57;2;6;
56;57;2;29;
56;57;2;30;
56;57;2;32;
56;57;2;33;
56;57;2;34;
56;57;2;35;
56;57;2;36;
56;57;2;37;
56;57;2;38;
56;57;2;39;
56;57;2;40;
56;57;2;41;
56;57;2;65;
56;57;2;66;
56;57;2;92;
56;57;2;93;
56;57;3;16;
56;57;3;18;
56;57;3;27;
56;57;3;28;
56;57;3;42;
56;57;3;43;
56;57;3;44;
56;57;3;45;
56;57;3;46;
56;57;3;47;
56;57;3;48;
56;57;3;49;
56;57;3;50;
56;57;3;51;
56;57;3;89;
56;57;3;90;
56;57;3;91;
56;57;4;52;
56;57;4;53;
56;57;4;54;
56;57;4;55;
56;57;4;56;
56;57;4;57;
56;57;4;58;
56;57;4;59;
56;57;4;60;
56;57;4;61;
56;57;4;62;
56;57;4;63;
56;57;4;64;
