item;alias;description;sessionuid;road;stretchs;pk;sentido
2;RV-BEL-1;RV-BEL-1;RV-BEL-1;AP7 - AUSOL I;RV-TUNEL;177+30707;CA
3;RV-BDI-1;RV-BDI-1;RV-BDI-1;AP7 - AUSOL I;RV-TUNEL;177+30707;CA
5;MM-BEL-1;MM-BEL-1;MM-BEL-1;AP7 - AUSOL I;MM-TUNEL;165+987;CA
6;MM-BDI-1;MM-BDI-1;MM-BDI-1;AP7 - AUSOL I;MM-TUNEL;165+987;CA
7;LQ-BEL-1;LQ-BEL-1;LQ-BEL-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
8;LQ-BDI-1;LQ-BDI-1;LQ-BDI-1;AP7 - AUSOL I;LQ-TUNEL;173+900;CA
9;CAS-BDI-1;CAS-BDI-1;CAS-BDI-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
10;CAS-BEL-1;CAS-BEL-1;CAS-BEL-1;AP7 - AUSOL II;CAS-TUNEL;173+900;CA
11;CH-BEL-1;CH-BEL-1;CH-BEL-1;AP7 - AUSOL I;CH-TUNEL;173+900;CA
12;CH-BDI-1;CH-BDI-1;CH-BDI-1;AP7 - AUSOL I;CH-TUNEL;173+900;CA
15;NG-BEL-1;NG-BEL-1;NG-BEL-1;AP7 - AUSOL I;NG-TUNEL;173+900;CA
16;NG-BDI-1;NG-BDI-1;NG-BDI-1;AP7 - AUSOL I;NG-TUNEL;173+900;CA
17;COR-BEL-1;COR-BEL-1;COR-BEL-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA
18;COR-BDI-1;COR-BDI-1;COR-BDI-1;AP7 - AUSOL I;COR-TUNEL;173+900;CA
