item;alias;description;sessionuid;road;stretchs;pk;sentido;param5_group_id
1;RV-MEG-GR-TUNEL;RV-MEG-GR-TUNEL;RV-MEG-GR-TUNEL;AP7 - AUSOL I;RV-TUNEL;177+290;CA;3
2;RV-MEG-GR-TSC;RV-MEG-GR-TSC;RV-MEG-GR-TSC;AP7 - AUSOL I;RV-TUNEL;177+290;CA;31
3;RV-MEG-GR-TSM;RV-MEG-GR-TSM;RV-MEG-GR-TSM;AP7 - AUSOL I;RV-TUNEL;177+290;MA;32
4;MM-MEG-GR-TUNEL;MM-MEG-GR-TUNEL;MM-MEG-GR-TUNEL;AP7 - AUSOL I;MM-TUNEL;166+707;CA;1
5;MM-MEG-GR-TSC;MM-MEG-GR-TSC;MM-MEG-GR-TSC;AP7 - AUSOL I;MM-TUNEL;166+707;CA;11
6;MM-MEG-GR-TSM;MM-MEG-GR-TSM;MM-MEG-GR-TSM;AP7 - AUSOL I;MM-TUNEL;166+011;MA;12
7;LQ-MEG-GR-TUNEL;LQ-MEG-GR-TUNEL;LQ-MEG-GR-TUNEL;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;2
8;LQ-MEG-GR-TSC;LQ-MEG-GR-TSC;LQ-MEG-GR-TSC;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;21
9;LQ-MEG-GR-TSM;LQ-MEG-GR-TSM;LQ-MEG-GR-TSM;AP7 - AUSOL I;LQ-TUNEL;172+100;CA;22
10;NG-MEG-GR-TUNEL;NG-MEG-GR-TUNEL;NG-MEG-GR-TUNEL;AP7 - AUSOL I;NG-TUNEL;172+626;CA;4
11;NG-MEG-GR-TSC;NG-MEG-GR-TSC;NG-MEG-GR-TSC;AP7 - AUSOL I;NG-TUNEL;172+626;CA;41
12;NG-MEG-GR-TSM;NG-MEG-GR-TSM;NG-MEG-GR-TSM;AP7 - AUSOL I;NG-TUNEL;172+626;CA;42
13;STMI-MEG-GR-TUNEL;STMI-MEG-GR-TUNEL;STMI-MEG-GR-TUNEL;AP7 - AUSOL I;STMI-TUNEL;195+545;CA;5
14;STMI-MEG-GR-TSC;STMI-MEG-GR-TSC;STMI-MEG-GR-TSC;AP7 - AUSOL I;STMI-TUNEL;195+545;CA;51
15;STMI-MEG-GR-TSM;STMI-MEG-GR-TSM;STMI-MEG-GR-TSM;AP7 - AUSOL I;STMI-TUNEL;195+545;CA;52
16;CH-MEG-GR-TUNEL;CH-MEG-GR-TUNEL;CH-MEG-GR-TUNEL;AP7 - AUSOL I;CH-TUNEL;172+626;CA;6
17;CH-MEG-GR-TSC;CH-MEG-GR-TSC;CH-MEG-GR-TSC;AP7 - AUSOL I;CH-TUNEL;172+626;CA;61
18;CH-MEG-GR-TSM;CH-MEG-GR-TSM;CH-MEG-GR-TSM;AP7 - AUSOL I;CH-TUNEL;172+626;CA;62
19;STM2-MEG-GR-TUNEL;STM2-MEG-GR-TUNEL;STM2-MEG-GR-TUNEL;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;7
20;STM2-MEG-GR-TSC;STM2-MEG-GR-TSC;STM2-MEG-GR-TSC;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;71
21;STM2-MEG-GR-TSM;STM2-MEG-GR-TSM;STM2-MEG-GR-TSM;AP7 - AUSOL II;STMII-TUNEL;150+787;CA;72
22;COR-MEG-GR-TUNEL;COR-MEG-GR-TUNEL;COR-MEG-GR-TUNEL;AP7 - AUSOL II;COR-TUNEL;152+000;CA;8
23;COR-MEG-GR-TSC;COR-MEG-GR-TSC;COR-MEG-GR-TSC;AP7 - AUSOL II;COR-TUNEL;152+000;CA;81
24;COR-MEG-GR-TSM;COR-MEG-GR-TSM;COR-MEG-GR-TSM;AP7 - AUSOL II;COR-TUNEL;152+000;CA;82
25;EST-MEG-GR-TUNEL;EST-MEG-GR-TUNEL;EST-MEG-GR-TUNEL;AP7 - AUSOL II;EST-TUNEL;177+229;CA;9
26;EST-MEG-GR-TSC;EST-MEG-GR-TSC;EST-MEG-GR-TSC;AP7 - AUSOL II;EST-TUNEL;177+229;CA;91
27;EST-MEG-GR-TSM;EST-MEG-GR-TSM;EST-MEG-GR-TSM;AP7 - AUSOL II;EST-TUNEL;177+229;CA;92
28;CAS-MEG-GR-TUNEL;CAS-MEG-GR-TUNEL;CAS-MEG-GR-TUNEL;AP7 - AUSOL II;CAS-TUNEL;152+000;CA;100
29;CAS-MEG-GR-TSC;CAS-MEG-GR-TSC;CAS-MEG-GR-TSC;AP7 - AUSOL II;CAS-TUNEL;152+000;CA;101
30;CAS-MEG-GR-TSM;CAS-MEG-GR-TSM;CAS-MEG-GR-TSM;AP7 - AUSOL II;CAS-TUNEL;152+000;CA;102
