item;stretch_type;alias;description;pk_ini;pk_end;lanes;road
1000;IncidentReport;RV-TUNEL;Tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1001;IncidentReport;RV-TSM;Boca sentido Málaga del tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1002;IncidentReport;RV-TSC;Boca sentido Cádiz del tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1003;IncidentReport;RV-TSM+150;Sector TSM+150 del tubo sentido Málaga en el tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1004;IncidentReport;RV-TSM+310;Sector TSM+310 del tubo sentido Málaga en el tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1005;IncidentReport;RV-TSC+150;Sector TSC+150 del tubo sentido Cádiz en el tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1006;IncidentReport;RV-TSC+300;Sector TSC+300 del tubo sentido Cádiz en el tunel de Río Verde;0.0;0.0;0;AP7 - AUSOL I
1007;IncidentReport;MM-TUNEL;Tunel de Montemayor;0.0;0.0;0;AP7 - AUSOL I
1008;IncidentReport;MM-TSM;Boca sentido Málaga del tunel de Montemayor;0.0;0.0;0;AP7 - AUSOL I
1009;IncidentReport;MM-TSC;Boca sentido Cádiz del tunel de Montemayor;0.0;0.0;0;AP7 - AUSOL I
1010;IncidentReport;MM-TSM+150;Sector TSM+150 del tubo sentido Málaga en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1011;IncidentReport;MM-TSM+300;Sector TSM+300 del tubo sentido Málaga en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1012;IncidentReport;MM-TSM+450;Sector TSM+450 del tubo sentido Málaga en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1013;IncidentReport;MM-TSM+600;Sector TSM+600 del tubo sentido Málaga en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1014;IncidentReport;MM-TSC+150;Sector TSC+150 del tubo sentido Cádiz en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1015;IncidentReport;MM-TSC+300;Sector TSC+300 del tubo sentido Cádiz en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1016;IncidentReport;MM-TSC+450;Sector TSC+450 del tubo sentido Cádiz en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1017;IncidentReport;MM-TSC+600;Sector TSC+600 del tubo sentido Cádiz en el tunel Montemayor;0.0;0.0;0;AP7 - AUSOL I
1018;IncidentReport;STMI-TUNEL;Tunel de Montemayor;0.0;0.0;0;AP7 - AUSOL I
1019;IncidentReport;STMI-TSM;Boca sentido Málaga del tunel de Santa María I;0.0;0.0;0;AP7 - AUSOL I
1020;IncidentReport;STM-TSC;Boca sentido Cádiz del tunel de Santa María I;0.0;0.0;0;AP7 - AUSOL I
1021;IncidentReport;LQ-TUNEL;Tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1022;IncidentReport;LQ-TSM;Boca sentido Málaga del tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1023;IncidentReport;LQ-TSC;Boca sentido Cádiz del tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1024;IncidentReport;LQ-TSM+150;Sector TSM+150 del tubo sentido Málaga en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1025;IncidentReport;LQ-TSM+300;Sector TSM+300 del tubo sentido Málaga en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1026;IncidentReport;LQ-TSM+450;Sector TSM+450 del tubo sentido Málaga en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1027;IncidentReport;LQ-TSC+210;Sector TSM+210 del tubo sentido Cádiz en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1028;IncidentReport;LQ-TSC+420;Sector TSM+420 del tubo sentido Cádiz en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1029;IncidentReport;LQ-TSC+630;Sector TSM+630 del tubo sentido Cádiz en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1030;IncidentReport;LQ-TSC+840;Sector TSM+840 del tubo sentido Cádiz en el tunel de La Quinta;0.0;0.0;0;AP7 - AUSOL I
1031;IncidentReport;CH-TUNEL;Tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1032;IncidentReport;CH-TSM;Boca sentido Málaga del tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1033;IncidentReport;CH-TSC;Boca sentido Cádiz del tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1034;IncidentReport;CH-TSM+150;Sector TSM+150 del tubo sentido Málaga en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1035;IncidentReport;CH-TSM+300;Sector TSM+300 del tubo sentido Málaga en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1036;IncidentReport;CH-TSM+450;Sector TSM+450 del tubo sentido Málaga en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1037;IncidentReport;CH-TSM+610;Sector TSM+610 del tubo sentido Málaga en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1038;IncidentReport;CH-TSC+140;Sector TSC+140 del tubo sentido Cádiz en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
1039;IncidentReport;CH-TSC+280;Sector TSC+280 del tubo sentido Cádiz en el tunel de Calahoda;0.0;0.0;0;AP7 - AUSOL I
