item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;param1_direction;param2_virtual;param3_los_type;param4_los_soften;param5_los_flatten;param6_los_threshold_speed;param7_los_threshold_occupancy;param80_cat_veh_speed1;param81_cat_veh_speed2;param82_cat_veh_speed3;param100_cat_veh_pat1;param101_cat_veh_pat2;param102_cat_veh_pat3;param103_cat_veh_pat4;param10_PK
1;1;S1TS-ETD-001-SEC-1;S1TS-ETD-001-SEC-1;S1TS-ETD-001-SEC-1;AVO;S1TS-ZON-001;Secc.01-10-01;37+05;750;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];37+05
2;1;S1TN-ETD-002-SEC-1;S1TN-ETD-002-SEC-1;S1TN-ETD-002-SEC-1;AVO;S1TN_EXT;Secc.01-11-13;43+268;785;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];43+268
3;1;S1TS-ETD-002-SEC-1;S1TS-ETD-002-SEC-1;S1TS-ETD-002-SEC-1;AVO;S1TS-ZON-017;Secc.01-10-02;38+575;2300;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];38+575
4;1;S1TN-ETD-001-SEC-1;S1TN-ETD-001-SEC-1;S1TN-ETD-001-SEC-1;AVO;S1TN_EXT;Secc.01-11-13;37+725;1425;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];37+725
5;1;S1TS-ETD-003-SEC-1;S1TS-ETD-003-SEC-1;S1TS-ETD-003-SEC-1;AVO;S1TS-ZON-022;Secc.01-10-03;39+050;2800;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];39+050
6;1;S2TN-ETD-004-SEC-1;S2TN-ETD-004-SEC-1;S2TN-ETD-004-SEC-1;AVO;S2TN-ZON-025;Secc.03-11-10;42+068;5780;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];42+068
7;1;S2TN-ETD-003-SEC-1;S2TN-ETD-003-SEC-1;S2TN-ETD-003-SEC-1;AVO;S2TN-ZON-019;Secc.03-11-10;42+668;6300;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];42+668
8;1;S2TS-ETD-004-SEC-1;S2TS-ETD-004-SEC-1;S2TS-ETD-004-SEC-1;AVO;S2TS-ZON-033;Secc.02-10-06;42+868;6550;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];42+868
9;1;S2TN-ETD-002-SEC-1;S2TN-ETD-002-SEC-1;S2TN-ETD-002-SEC-1;AVO;S2TN-ZON-014;Secc.03-11-10;37+085;6930;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];37+085
10;1;S2TS-ETD-005-SEC-1;S2TS-ETD-005-SEC-1;S2TS-ETD-005-SEC-1;AVO;S2TS-ZON-044;Secc.02-10-07;43+968;7635;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];43+968
11;1;S2TN-ETD-001-SEC-1;S2TN-ETD-001-SEC-1;S2TN-ETD-001-SEC-1;AVO;S2TN-ZON-005;Secc.03-11-08;44+068;7780;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];44+068
12;1;S2TS-ETD-006-SEC-1;S2TS-ETD-006-SEC-1;S2TS-ETD-006-SEC-1;AVO;S2TS-ZON-047;Secc.02-10-07;44+368;8100;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2];[3];[1];[2];[3];[4];44+368
