item;element_subtype;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;1;ICEO-BAR-001;ICEO-BAR-001;ICEO-BAR-001;AVO;ICEO_EXT;Secc.01-19-15;1070;1+07;
2;1;ICEP-BAR-001;ICEP-BAR-001;ICEP-BAR-001;AVO;ICEP_EXT;Secc.01-21-15;95;0+10;
3;1;IVEN-BAR-001;IVEN-BAR-001;IVEN-BAR-001;AVO;IVEN_EXT;Secc.01-09-15;2255;35+62;
4;1;S1TS-BAR-001;S1TS-BAR-001;S1TS-BAR-001;AVO;S1TN_EXT;Secc.01-10-14;630;36+93;
5;1;S1TS-BAR-002;S1TS-BAR-002;S1TS-BAR-002;AVO;S1TN_EXT;Secc.01-10-14;630;36+93;
6;1;INKP-BAR-001;INKP-BAR-001;INKP-BAR-001;AVO;INKP_EXT;Secc.02-29-04;300;0+3;
7;1;IVIP-BAR-001;IVIP-BAR-001;IVIP-BAR-001;AVO;IVIP_EXT;Secc.02-16-04;3020;3+02;
8;1;IPRO-BAR-001;IPRO-BAR-001;IPRO-BAR-001;AVO;IPRO_EXT;Secc.03-57-10;4070;4+07;
9;1;ICCO-BAR-001;ICCO-BAR-001;ICCO-BAR-001;AVO;ICCO_EXT;Secc.03-258-09;5030;5+03;
10;1;ICCP-BAR-001;ICCP-BAR-001;ICCP-BAR-001;AVO;ICCP_EXT;Secc.02-256-07;6050;6+05;
11;1;IBTO-BAR-001;IBTO-BAR-001;IBTO-BAR-001;AVO;IBTO_EXT;Secc.03-255-08;7100;7+1;
