item;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
1;S1TS-VCH-100A;S1TS-VCH-100A;S1TS-VCH-100A;AVO;S1TS-ZON-001;Secc.01-10-01;37+02;720;
2;S1TS-VCH-100B;S1TS-VCH-100B;S1TS-VCH-100B;AVO;S1TS-ZON-001;Secc.01-10-01;37+02;720;
3;S1TS-VCH-200A;S1TS-VCH-200A;S1TS-VCH-200A;AVO;S1TS-ZON-011;Secc.01-10-01;37+98;1675;
4;S1TS-VCH-200B;S1TS-VCH-200B;S1TS-VCH-200B;AVO;S1TS-ZON-011;Secc.01-10-01;37+98;1675;
5;S1TS-VCH-202A;S1TS-VCH-202A;S1TS-VCH-202A;AVO;S1TS-ZON-013;Secc.01-10-02;38+18;1875;
6;S1TS-VCH-202B;S1TS-VCH-202B;S1TS-VCH-202B;AVO;S1TS-ZON-013;Secc.01-10-02;38+18;1875;
7;S1TS-VCH-204A;S1TS-VCH-204A;S1TS-VCH-204A;AVO;S1TS-ZON-014;Secc.01-10-02;38+30;1995;
8;S1TS-VCH-204B;S1TS-VCH-204B;S1TS-VCH-204B;AVO;S1TS-ZON-014;Secc.01-10-02;38+30;1995;
9;S1TS-VCH-300A;S1TS-VCH-300A;S1TS-VCH-300A;AVO;S1TS-ZON-025;Secc.01-10-03;39+40;3100;
10;S1TS-VCH-300B;S1TS-VCH-300B;S1TS-VCH-300B;AVO;S1TS-ZON-025;Secc.01-10-03;39+40;3100;
11;SIGO-VCH-302R;SIGO-VCH-302R;SIGO-VCH-302R;AVO;SIGO-ZON-001;Secc.01-14-03;3+10;3100;
12;INKO-VCH-415R;INKO-VCH-415R;INKO-VCH-415R;AVO;INKO-ZON-001;Secc.03-42-11;0+12;120;
13;SICO-VCH-710R;SICO-VCH-710R;SICO-VCH-710R;AVO;SICO-ZON-001;Secc.02-260-06;0+14;140;
14;SMPN-VCH-600R;SMPN-VCH-600R;SMPN-VCH-600R;AVO;SMPN-ZON-002;Secc.02-303-05;0+17;170;
15;INKO-VCH-413R;INKO-VCH-413R;INKO-VCH-413R;AVO;INKO-ZON-002;Secc.03-42-11;0+19;190;
