item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param3_extension
1;2;ICEO-SOS-001;ICEO-SOS-001;ICEO-SOS-001;AVO;ICEO_EXT;Secc.01-19-15;1+070;;1070;12311
2;2;ICEP-SOS-001;ICEP-SOS-001;ICEP-SOS-001;AVO;ICEP_EXT;Secc.01-21-15;0+110;;110;12312
3;2;IVEN-SOS-001;IVEN-SOS-001;IVEN-SOS-001;AVO;IVEN_EXT;Secc.01-09-15;35+630;;2270;12211
4;2;S1TS-SOS-001;S1TS-SOS-001;S1TS-SOS-001;AVO;S1TS-ZON-001;Secc.01-10-14;36+940;;635;12031
6;2;S1TN-SOS-002;S1TN-SOS-002;S1TN-SOS-002;AVO;S1TN_EXT;Secc.01-11-13;37+730;;1425;11012
7;2;S1TN-SOS-001;S1TN-SOS-001;S1TN-SOS-001;AVO;S1TN_EXT;Secc.01-11-13;38+750;;2450;11011
8;3;S1TS-CAB-001;S1TS-CAB-001;S1TS-CAB-001;AVO;S1TS-ZON-001;Secc.01-10-01;37+050;;750;12001
9;3;S1TS-CAB-002;S1TS-CAB-002;S1TS-CAB-002;AVO;S1TS-ZON-003;Secc.01-10-01;37+150;;850;12002
10;3;S1TS-CAB-003;S1TS-CAB-003;S1TS-CAB-003;AVO;S1TS-ZON-003;Secc.01-10-01;37+250;;950;12003
11;3;S1TS-CAB-004;S1TS-CAB-004;S1TS-CAB-004;AVO;S1TS-ZON-004;Secc.01-10-01;37+350;;1050;12004
12;3;S1TS-CAB-005;S1TS-CAB-005;S1TS-CAB-005;AVO;SCNO-ZON-001;Secc.01-10-01;37+450;;1150;12005
13;3;S1TS-CAB-006;S1TS-CAB-006;S1TS-CAB-006;AVO;S1TS-ZON-007;Secc.01-10-01;37+550;;1250;12006
14;3;S1TS-CAB-007;S1TS-CAB-007;S1TS-CAB-007;AVO;S1TS-ZON-007;Secc.01-10-01;37+650;;1350;12007
15;3;SCNO-CAB-001;SCNO-CAB-001;SCNO-CAB-001;AVO;SCNO-ZON-002;Secc.01-25-01;0+200;;200;12401
16;3;1ES0-CAB-001;1ES0-CAB-001;1ES0-CAB-001;AVO;S1TN_EXT;Secc.01-10-14;36+920;;620;12110
17;3;1E01-CAB-001;1E01-CAB-001;1E01-CAB-001;AVO;S1TS-ZON-002;Secc.01-10-01;37+050;;754;12101
