item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param2000_REGIMEN_0;param2001_REGIMEN_1;param2002_REGIMEN_2;param2003_REGIMEN_3;param2004_REGIMEN_4;param2005_REGIMEN_5;;
1;S1TS-SAM-NO-001;S1TS-SAM-NO-001;S1TS-SAM-NO-001;AVO;SCNO-ZON-001;Secc.01-10-01;37+50;;1200;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2ppm;>2 ppm
2;S1TS-SAM-NO-002;S1TS-SAM-NO-002;S1TS-SAM-NO-002;AVO;S1TS-ZON-011;Secc.01-10-01;38+03;;1725;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2ppm;>2 ppm
3;SCNO-SAM-NO-001;SCNO-SAM-NO-001;SCNO-SAM-NO-001;AVO;SCNO-ZON-003;Secc.01-25-01;0+28;;275;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2ppm;>2 ppm
4;SCNO-SAM-NO-002;SCNO-SAM-NO-002;SCNO-SAM-NO-002;AVO;SCNO-ZON-005;Secc.01-25-01;0+65;;650;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2ppm;>2 ppm
5;S1TS-SAM-NO-003;S1TS-SAM-NO-003;S1TS-SAM-NO-003;AVO;S1TS-ZON-017;Secc.01-10-02;38+60;;2300;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
6;S1TS-SAM-NO-004;S1TS-SAM-NO-004;S1TS-SAM-NO-004;AVO;S1TS-ZON-020;Secc.01-10-02;38+90;;2600;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
7;S1TS-SAM-NO-005;S1TS-SAM-NO-005;S1TS-SAM-NO-005;AVO;S1TS-ZON-027;Secc.01-10-03;39+60;;3300;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
8;S2TN-SAM-NO-001;S2TN-SAM-NO-001;S2TN-SAM-NO-001;AVO;S2TN-ZON-049;Secc.03-11-11;39+75;;3450;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
9;S2TN-SAM-NO-002;S2TN-SAM-NO-002;S2TN-SAM-NO-002;AVO;S2TN-ZON-043;Secc.03-11-11;40+35;;4050;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
10;S2TS-SAM-NO-001;S2TS-SAM-NO-001;S2TS-SAM-NO-001;AVO;S2TS-ZON-008;Secc.02-10-04;40+42;;4120;0 ppm<=NO2<0;1 ppm;0;1 ppm<=NO2<0.4 ppm;0.4 ppm<=NO2<1.0 ppm;1 ppm<=NO2<1.5 ppm;1.5 ppm<=NO2<=2 ppm;>2 ppm
