item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm;param2000_REGIMEN_0;param2001_REGIMEN_1;param2002_REGIMEN_2;param2003_REGIMEN_3;param2004_REGIMEN_4;param2005_REGIMEN_5
1;S1TS-SAM-OP-001;S1TS-SAM-OP-001;S1TS-SAM-OP-001;AVO;SCNO-ZON-001;Secc.01-10-01;37+50;;1200;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
2;S1TS-SAM-OP-002;S1TS-SAM-OP-002;S1TS-SAM-OP-002;AVO;S1TS-ZON-011;Secc.01-10-01;38+03;;1725;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
3;SCNO-SAM-OP-001;SCNO-SAM-OP-001;SCNO-SAM-OP-001;AVO;SCNO-ZON-003;Secc.01-25-01;0+28;;275;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
4;SCNO-SAM-OP-002;SCNO-SAM-OP-002;SCNO-SAM-OP-002;AVO;SCNO-ZON-005;Secc.01-25-01;0+65;;650;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
5;S1TS-SAM-OP-003;S1TS-SAM-OP-003;S1TS-SAM-OP-003;AVO;S1TS-ZON-017;Secc.01-10-02;38+60;;2300;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
6;S1TS-SAM-OP-004;S1TS-SAM-OP-004;S1TS-SAM-OP-004;AVO;S1TS-ZON-020;Secc.01-10-02;38+90;;2600;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
7;S1TS-SAM-OP-005;S1TS-SAM-OP-005;S1TS-SAM-OP-005;AVO;S1TS-ZON-027;Secc.01-10-03;39+60;;3300;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
8;S2TN-SAM-OP-001;S2TN-SAM-OP-001;S2TN-SAM-OP-001;AVO;S2TN-ZON-049;Secc.03-11-11;39+75;;3450;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
9;S2TN-SAM-OP-002;S2TN-SAM-OP-002;S2TN-SAM-OP-002;AVO;S2TN-ZON-043;Secc.03-11-11;40+35;;4050;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
11;S2TS-SAM-OP-002;S2TS-SAM-OP-002;S2TS-SAM-OP-002;AVO;S2TS-ZON-012;Secc.02-10-04;40+75;;4450;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
10;S2TS-SAM-OP-001;S2TS-SAM-OP-001;S2TS-SAM-OP-001;AVO;S2TS-ZON-008;Secc.02-10-04;40+42;;4120;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
12;S2TN-SAM-OP-003;S2TN-SAM-OP-003;S2TN-SAM-OP-003;AVO;S2TN-ZON-038;Secc.03-11-11;40+775;;4475;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
13;S2TS-SAM-OP-004;S2TS-SAM-OP-004;S2TS-SAM-OP-004;AVO;S2TS-ZON-017;Secc.02-10-04;41+35;;5050;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
14;S2TN-SAM-OP-005;S2TN-SAM-OP-005;S2TN-SAM-OP-005;AVO;S2TN-ZON-032;Secc.03-11-11;41+365;;5065;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
15;S2TN-SAM-OP-006;S2TN-SAM-OP-006;S2TN-SAM-OP-006;AVO;S2TN-ZON-028;Secc.03-11-11;41+85;;5550;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
16;S2TS-SAM-OP-005;S2TS-SAM-OP-005;S2TS-SAM-OP-005;AVO;S2TS-ZON-023;Secc.02-10-05;41+89;;5590;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
17;S2TN-SAM-OP-007;S2TN-SAM-OP-007;S2TN-SAM-OP-007;AVO;S2TN-ZON-023;Secc.03-11-10;42+4;;6100;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
18;S2TS-SAM-OP-006;S2TS-SAM-OP-006;S2TS-SAM-OP-006;AVO;S2TS-ZON-028;Secc.02-10-05;42+43;;6130;0 km⁻¹ <= OP < 1.5 km⁻¹;1.5 km⁻¹ <= OP < 2.5 km⁻¹;2.5 km⁻¹ <= OP < 5 km⁻¹;5 km⁻¹ <= OP < 8 km⁻¹;8 km⁻¹ <= OP < 10 km⁻¹;OP > 10 km⁻¹
