item;alias;description;sessionuid;road;stretchs;secc;dm;pk;sentido
1;VALV-OSY-ALJ1-1;VALV-OSY-ALJ1-1;VALV-OSY-ALJ1-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
2;VALV-OSY-ALJ1-2;VALV-OSY-ALJ1-2;VALV-OSY-ALJ1-2;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
3;VALV-PRUEBAS-ALJ1-1;VALV-PRUEBAS-ALJ1-1;VALV-PRUEBAS-ALJ1-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
4;VALV-PRUEBAS-ALJ1-2;VALV-PRUEBAS-ALJ1-2;VALV-PRUEBAS-ALJ1-2;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
5;VALV-DESCARGA-ALJ1-1;VALV-DESCARGA-ALJ1-1;VALV-DESCARGA-ALJ1-1;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
6;VALV-DESCARGA-ALJ1-2;VALV-DESCARGA-ALJ1-2;VALV-DESCARGA-ALJ1-2;AVO;S1TN-ZON-005;Secc.01-11-12;2700;39;
7;VALV-OSY-ALJ2-1;VALV-OSY-ALJ2-1;VALV-OSY-ALJ2-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
8;VALV-OSY-ALJ2-2;VALV-OSY-ALJ2-2;VALV-OSY-ALJ2-2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
9;VALV-PRUEBAS-ALJ2-1;VALV-PRUEBAS-ALJ2-1;VALV-PRUEBAS-ALJ2-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
10;VALV-PRUEBAS-ALJ2-2;VALV-PRUEBAS-ALJ2-2;VALV-PRUEBAS-ALJ2-2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
11;VALV-DESCARGA-ALJ2-1;VALV-DESCARGA-ALJ2-1;VALV-DESCARGA-ALJ2-1;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37;
12;VALV-DESCARGA-ALJ2-2;VALV-DESCARGA-ALJ2-2;VALV-DESCARGA-ALJ2-2;AVO;S2TS-ZON-006;Secc.02-10-04;4070;40+37
13;VALV-OSY-ALJ3-1;VALV-OSY-ALJ3-1;VALV-OSY-ALJ3-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
14;VALV-OSY-ALJ3-2;VALV-OSY-ALJ3-2;VALV-OSY-ALJ3-2;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
15;VALV-PRUEBAS-ALJ3-1;VALV-PRUEBAS-ALJ3-1;VALV-PRUEBAS-ALJ3-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
16;VALV-PRUEBAS-ALJ3-2;VALV-PRUEBAS-ALJ3-2;VALV-PRUEBAS-ALJ3-2;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
17;VALV-DESCARGA-ALJ3-1;VALV-DESCARGA-ALJ3-1;VALV-DESCARGA-ALJ3-1;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
18;VALV-DESCARGA-ALJ3-2;VALV-DESCARGA-ALJ3-2;VALV-DESCARGA-ALJ3-2;AVO;S2TS-ZON-030;Secc.02-10-05;6150;42+45;
19;VALV-OSY-ALJ4-1;VALV-OSY-ALJ4-1;VALV-OSY-ALJ4-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
20;VALV-OSY-ALJ4-2;VALV-OSY-ALJ4-2;VALV-OSY-ALJ4-2;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
21;VALV-PRUEBAS-ALJ4-1;VALV-PRUEBAS-ALJ4-1;VALV-PRUEBAS-ALJ4-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
22;VALV-PRUEBAS-ALJ4-2;VALV-PRUEBAS-ALJ4-2;VALV-PRUEBAS-ALJ4-2;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
23;VALV-DESCARGA-ALJ4-1;VALV-DESCARGA-ALJ4-1;VALV-DESCARGA-ALJ4-1;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
24;VALV-DESCARGA-ALJ4-2;VALV-DESCARGA-ALJ4-2;VALV-DESCARGA-ALJ4-2;AVO;S2TS-ZON-039;Secc.02-10-07;7470;43+77;
