item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;dm;sentido
1;2;SCNO-BIE-001;SCNO-BIE-001;SCNO-BIE-001;AVO;SCNO-ZON-001;Secc.01-25-01;0+150;150;
2;1;SAEB-BIE-001;SAEB-BIE-001;SAEB-BIE-001;AVO;SAEB-ZON-001;Secc.01-86-02;0+200;195;
3;1;SCNO-BIE-002;SCNO-BIE-002;SCNO-BIE-002;AVO;SCNO-ZON-002;Secc.01-25-01;0+200;200;
4;2;SAEB-BIE-002;SAEB-BIE-002;SAEB-BIE-002;AVO;SAEB-ZON-002;Secc.01-86-02;0+250;245;
5;2;SCNO-BIE-003;SCNO-BIE-003;SCNO-BIE-003;AVO;SCNO-ZON-002;Secc.01-25-01;0+250;250;
6;1;SAEB-BIE-003;SAEB-BIE-003;SAEB-BIE-003;AVO;SAEB-ZON-003;Secc.01-86-02;0+300;295;
7;1;SCNO-BIE-004;SCNO-BIE-004;SCNO-BIE-004;AVO;SCNO-ZON-003;Secc.01-25-01;0+300;300;
8;2;SCNO-BIE-005;SCNO-BIE-005;SCNO-BIE-005;AVO;SCNO-ZON-003;Secc.01-25-01;0+350;350;
9;1;SCNO-BIE-006;SCNO-BIE-006;SCNO-BIE-006;AVO;SCNO-ZON-004;Secc.01-25-01;0+400;400;
10;2;SCNO-BIE-007;SCNO-BIE-007;SCNO-BIE-007;AVO;SCNO-ZON-004;Secc.01-25-01;0+450;450;
11;1;SCNO-BIE-008;SCNO-BIE-008;SCNO-BIE-008;AVO;SCNO-ZON-004;Secc.01-25-01;0+500;500;
12;2;SCNO-BIE-009;SCNO-BIE-009;SCNO-BIE-009;AVO;SCNO-ZON-005;Secc.01-25-01;0+550;550;
13;1;SCNO-BIE-010;SCNO-BIE-010;SCNO-BIE-010;AVO;SCNO-ZON-005;Secc.01-25-01;0+600;600;
14;2;SCNO-BIE-011;SCNO-BIE-011;SCNO-BIE-011;AVO;SCNO-ZON-005;Secc.01-25-01;0+650;650;
15;2;S1TS-BIE-001;S1TS-BIE-001;S1TS-BIE-001;AVO;S1TS-ZON-001;Secc.01-10-01;36+960;662;
16;2;S1TS-BIE-002;S1TS-BIE-002;S1TS-BIE-002;AVO;S1TS-ZON-001;Secc.01-10-01;37+000;700;
17;1;SCNO-BIE-012;SCNO-BIE-012;SCNO-BIE-012;AVO;SCNO_EXT;Secc.01-25-01;0+700;700;
18;1;S1TS-BIE-003;S1TS-BIE-003;S1TS-BIE-003;AVO;S1TS-ZON-001;Secc.01-10-01;37+050;750;
19;2;S1TS-BIE-004;S1TS-BIE-004;S1TS-BIE-004;AVO;S1TS-ZON-002;Secc.01-10-01;37+100;800;
20;1;S1TS-BIE-005;S1TS-BIE-005;S1TS-BIE-005;AVO;S1TS-ZON-002;Secc.01-10-01;37+150;850;
21;2;S1TS-BIE-006;S1TS-BIE-006;S1TS-BIE-006;AVO;S1TS-ZON-003;Secc.01-10-01;37+200;900;
22;1;S1TS-BIE-007;S1TS-BIE-007;S1TS-BIE-007;AVO;S1TS-ZON-003;Secc.01-10-01;37+250;950;
23;2;S1TS-BIE-008;S1TS-BIE-008;S1TS-BIE-008;AVO;S1TS-ZON-004;Secc.01-10-01;37+300;1000;
24;1;S1TS-BIE-009;S1TS-BIE-009;S1TS-BIE-009;AVO;S1TS-ZON-004;Secc.01-10-01;37+350;1050;
25;2;S1TS-BIE-010;S1TS-BIE-010;S1TS-BIE-010;AVO;S1TS-ZON-005;Secc.01-10-01;37+400;1100;
26;1;S1TS-BIE-011;S1TS-BIE-011;S1TS-BIE-011;AVO;SCNO-ZON-001;Secc.01-10-01;37+450;1150;
27;2;SIGO-BIE-001;SIGO-BIE-001;SIGO-BIE-001;AVO;SIGO-ZON-001;Secc.01-14-03;1+150;1150;
28;2;S1TS-BIE-012;S1TS-BIE-012;S1TS-BIE-012;AVO;SCNO-ZON-001;Secc.01-10-01;37+500;1200;
30;1;SIGO-BIE-002;SIGO-BIE-002;SIGO-BIE-002;AVO;SIGO-ZON-001;Secc.01-14-03;1+200;1200;
31;1;S1TS-BIE-013;S1TS-BIE-013;S1TS-BIE-013;AVO;S1TS-ZON-006;Secc.01-10-01;37+550;1250;
32;2;SIGO-BIE-003;SIGO-BIE-003;SIGO-BIE-003;AVO;SIGO-ZON-002;Secc.01-14-03;1+250;1250;
33;2;S1TS-BIE-014;S1TS-BIE-014;S1TS-BIE-014;AVO;S1TS-ZON-007;Secc.01-10-01;37+600;1300;
34;1;SIGO-BIE-004;SIGO-BIE-004;SIGO-BIE-004;AVO;SIGO-ZON-002;Secc.01-14-03;1+300;1300;
35;2;SIGO-BIE-005;SIGO-BIE-005;SIGO-BIE-005;AVO;SIGO-ZON-002;Secc.01-14-03;1+340;1340;
36;1;S1TS-BIE-015;S1TS-BIE-015;S1TS-BIE-015;AVO;S1TS-ZON-007;Secc.01-10-01;37+650;1350;
