item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param4_associated_cabinet;dm
1;1;1ER1-GAL9;1ER1-GAL9;1ER1-GAL9;AVO;SCNO-ZON-002;Secc.01-25-01;0+35;;;;1ER1-CAB-001;345
2;1;1ER1-GAL010;1ER1-GAL010;1ER1-GAL010;AVO;SCNO-ZON-005;Secc.01-25-01;0+58;;;;1ER2-CAB-001;580
4;1;1E01-GAL1;1E01-GAL1;1E01-GAL1;AVO;S1TS-ZON-001;Secc.01-10-01;37+05;;;;1E01-CAB-001;754
5;1;1E02-GAL2;1E02-GAL2;1E02-GAL2;AVO;S1TS-ZON-004;Secc.01-10-01;37+30;;;;1E02-CAB-001;1003
7;1;1E03-GAL3;1E03-GAL3;1E03-GAL3;AVO;SCNO-ZON-001;Secc.01-10-01;37+55;;;;1E03-CAB-001;1253
8;1;1E04-GAL4;1E04-GAL4;1E04-GAL4;AVO;S1TS-ZON-009;Secc.01-10-01;37+80;;;;1E04-CAB-001;1495
9;1;1E05-GAL5;1E05-GAL5;1E05-GAL5;AVO;S1TS-ZON-011;Secc.01-10-02;38+05;;;;1E05-CAB-001;1748
10;1;1E06-GAL6-VDF;1E06-GAL6-VDF;1E06-GAL6-VDF;AVO;S1TS-ZON-014;Secc.01-10-02;38+30;;;;1E06-CAB-001;1999
11;1;1E07-GAL7-VDF;1E07-GAL7-VDF;1E07-GAL7-VDF;AVO;S1TS-ZON-016;Secc.01-10-02;38+55;;;;1E07-CAB-001;2248
12;1;1E08-GAL8-VDF;1E08-GAL8-VDF;1E08-GAL8-VDF;AVO;S1TS-ZON-018;Secc.01-10-02;38+73;;;;1E08-CAB-001;2428
13;1;1ES1-GAL1;1ES1-GAL1;1ES1-GAL1;AVO;S1TS-ZON-020;Secc.01-86-02;2+56;;;;1ES1-CAB-001;2560
14;1;1ES2-GAL2;1ES2-GAL2;1ES2-GAL2;AVO;S1TS-ZON-022;Secc.01-10-03;39+11;;;;1ES2-CAB-001;2810
15;1;1ES3-ELE-002;1ES3-ELE-002;1ES3-ELE-002;AVO;S1TS-ZON-024;Secc.01-10-03;39+35;;;;1ES3-CAB-002;3050
16;1;1ES4-GAL4;1ES4-GAL4;1ES4-GAL4;AVO;S1TS-ZON-027;Secc.01-10-03;39+59;;;;1ES4-CAB-002;3290
17;1;2E03-GAL5;2E03-GAL5;2E03-GAL5;AVO;S2TN-ZON-048;Secc.02-10-04;39+8;;;;2E03-CAB-002;3500
18;1;2E04-GAL6;2E04-GAL6;2E04-GAL6;AVO;S2TN-ZON-047;Secc.02-10-04;39+967;;;;2E04-CAB-002;3667
19;1;2E05-GAL7;2E05-GAL7;2E05-GAL7;AVO;S2TN-ZON-044;Secc.02-10-04;40+22;;;;2E05-CAB-002;3920
20;1;2E06-GAL8;2E06-GAL8;2E06-GAL8;AVO;S2TN-ZON-041;Secc.02-10-04;40+45;;;;2E06-CAB-002;4150
21;1;2E07-GAL9;2E07-GAL9;2E07-GAL9;AVO;S2TN-ZON-039;Secc.02-10-04;40+7;;;;2E07-CAB-002;4400
22;1;2E08-GAL010;2E08-GAL010;2E08-GAL010;AVO;S2TN-ZON-037;Secc.02-10-04;40+95;;;;2E08-CAB-002;4650
23;1;2E09-GAL011;2E09-GAL011;2E09-GAL011;AVO;S2TN-ZON-036;Secc.02-10-04;41+04;;;;2E09-CAB-002;4740
24;1;2E10-GAL012;2E10-GAL012;2E10-GAL012;AVO;S2TN-ZON-033;Secc.02-10-04;41+28;;;;2E10-CAB-002;4980
25;1;2E11-GAL013;2E11-GAL013;2E11-GAL013;AVO;S2TN-ZON-032;Secc.02-10-04;41+41;;;;2E11-CAB-002;5110
26;1;2E12-GAL014;2E12-GAL014;2E12-GAL014;AVO;S2TN-ZON-029;Secc.02-10-05;41+695;;;;2E12-CAB-002;5395
27;1;2E13-GAL015;2E13-GAL015;2E13-GAL015;AVO;S2TN-ZON-028;Secc.02-10-05;41+85;;;;2E13-CAB-002;5550
