item;alias;description;sessionuid;road;stretchs;secc;dm;pk
1;CT01-TR1-SE1;Transformador;CT01-TR1-SE1;AVO;;Secc.01-10-01;620;36+920
2;CT02-TR1-SE2;Transformador;CT02-TR1-SE2;AVO;;Secc.01-10-02;1748;38+048
3;CT02-TR2-SE2;Transformador;CT02-TR2-SE2;AVO;;Secc.01-10-02;1748;38+048
4;CT02-TR3-SE2;Transformador;CT02-TR3-SE2;AVO;;Secc.01-10-02;1748;38+048
5;CT03-TR1-SE3;Transformador;CT03-TR1-SE3;AVO;;Secc.01-10-03;2715;39+015
6;CT04-TR1-SE4;Transformador;CT04-TR1-SE4;AVO;;Secc.02-10-04;4070;40+370
7;CT04-TR2-SE4;Transformador;CT04-TR2-SE4;AVO;;Secc.02-10-04;4070;40+370
8;CT04-TR3-SE4;Transformador;CT04-TR3-SE4;AVO;;Secc.02-10-04;4070;40+370
9;CT05-TR1-SE5;Transformador;CT05-TR1-SE5;AVO;;Secc.03-11-11;5115;41+415
10;CT05-TR2-SE5;Transformador;CT05-TR2-SE5;AVO;;Secc.03-11-11;5115;41+415
11;CT05-TR3-SE5;Transformador;CT05-TR3-SE5;AVO;;Secc.03-11-11;5115;41+415
12;CT06-TR1-SE6;Transformador;CT06-TR1-SE6;AVO;;Secc.03-11-10;6280;42+580
13;CT06-TR2-SE6;Transformador;CT06-TR2-SE6;AVO;;Secc.03-11-10;6280;42+580
14;CT06-TR3-SE6;Transformador;CT06-TR3-SE6;AVO;;Secc.03-11-10;6280;42+580
15;CT07-TR1-SE7;Transformador;CT07-TR1-SE7;AVO;;Secc.03-11-11;7220;43+520
16;CT07-TR2-SE7;Transformador;CT07-TR2-SE7;AVO;;Secc.03-11-11;7220;43+520
17;CT07-TR3-SE7;Transformador;CT07-TR3-SE7;AVO;;Secc.03-11-11;7220;43+520
18;CT08-TR1-SE8;Transformador;CT08-TR1-SE8;AVO;;Secc.02-10-07;8220;44+520
19;CT08-TR2-SE8;Transformador;CT08-TR2-SE8;AVO;;Secc.02-10-07;8220;44+520
20;CT08-TR3-SE8;Transformador;CT08-TR3-SE8;AVO;;Secc.02-10-07;8220;44+520
