item;alias;description;sessionuid;road;stretchs;secc;pk;dm
77;UF-S1TS-CAB-001;UF-S1TS-CAB-001;UF-S1TS-CAB-001;AVO;;Secc.02-10-05;42+58;6280
78;UF-1E01-CAB-001;UF-1E01-CAB-001;UF-1E01-CAB-001;AVO;;Secc.02-10-05;42+58;6280
79;UF-S1TS-CAB-002;UF-S1TS-CAB-002;UF-S1TS-CAB-002;AVO;;Secc.02-10-05;42+58;6280
80;UF-S1TS-CAB-003;UF-S1TS-CAB-003;UF-S1TS-CAB-003;AVO;;Secc.02-10-05;42+58;6280
81;UF-S1TS-CAB-004;UF-S1TS-CAB-004;UF-S1TS-CAB-004;AVO;;Secc.02-10-05;42+58;6280
82;UF-1E02-CAB-001;UF-1E02-CAB-001;UF-1E02-CAB-001;AVO;;Secc.02-10-05;42+58;6280
83;1ER1-ELE-001.PEVPres;1ER1-ELE-001.PEVPres;1ER1-ELE-001.PEVPres;AVO;;Secc.02-10-05;42+58;6280
84;UF-SCNO-CAB-002;UF-SCNO-CAB-002;UF-SCNO-CAB-002;AVO;;Secc.02-10-05;42+58;6280
85;UF-1ER1-CAB-001;UF-1ER1-CAB-001;UF-1ER1-CAB-001;AVO;;Secc.02-10-05;42+58;6280
86;UF-SCNO-CAB-003;UF-SCNO-CAB-003;UF-SCNO-CAB-003;AVO;;Secc.02-10-05;42+58;6280
87;1ER2-ELE-001.PEVPres;1ER2-ELE-001.PEVPres;1ER2-ELE-001.PEVPres;AVO;;Secc.02-10-05;42+58;6280
88;CC.06;CC.06;CC.06;AVO;;Secc.02-10-05;42+58;6280
89;UF-SCNO-CAB-004;UF-SCNO-CAB-004;UF-SCNO-CAB-004;AVO;;Secc.02-10-05;42+58;6280
90;UF-1ER2-CAB-001;UF-1ER2-CAB-001;UF-1ER2-CAB-001;AVO;;Secc.02-10-05;42+58;6280
91;UF-SCNO-CAB-005;UF-SCNO-CAB-005;UF-SCNO-CAB-005;AVO;;Secc.02-10-05;42+58;6280
92;UF-SCNO-CAB-006;UF-SCNO-CAB-006;UF-SCNO-CAB-006;AVO;;Secc.02-10-05;42+58;6280
93;1E03-ELE-001.PEVPres;1E03-ELE-001.PEVPres;1E03-ELE-001.PEVPres;AVO;;Secc.02-10-05;42+58;6280
94;CC.02;CC.02;CC.02;AVO;;Secc.02-10-05;42+58;6280
95;UF-SCNO-CAB-001;UF-SCNO-CAB-001;UF-SCNO-CAB-001;AVO;;Secc.02-10-05;42+58;6280
96;UF-S1TS-CAB-005;UF-S1TS-CAB-005;UF-S1TS-CAB-005;AVO;;Secc.02-10-05;42+58;6280
97;UF-S1TS-CAB-006;UF-S1TS-CAB-006;UF-S1TS-CAB-006;AVO;;Secc.02-10-05;42+58;6280
98;UF-1E03-CAB-001;UF-1E03-CAB-001;UF-1E03-CAB-001;AVO;;Secc.02-10-05;42+58;6280
99;UF-S1TS-CAB-007;UF-S1TS-CAB-007;UF-S1TS-CAB-007;AVO;;Secc.02-10-05;42+58;6280
