item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;CT01-CCI-001.Z1DO1;CT01-CCI-001.Z1DO1;CT01-CCI-001.Z1DO1;AVO;;Secc.01-10-14;36+920;;620
2;CT01-CCI-001.Z3DO1;CT01-CCI-001.Z3DO1;CT01-CCI-001.Z3DO1;AVO;;Secc.01-10-14;36+920;;620
3;CT01-CCI-001.Z2DT1;CT01-CCI-001.Z2DT1;CT01-CCI-001.Z2DT1;AVO;;Secc.01-10-14;36+920;;620
4;CT02-CCI-001.Z2DO2;CT02-CCI-001.Z2DO2;CT02-CCI-001.Z2DO2;AVO;;Secc.01-10-01;38+048;;1748
5;CT02-CCI-001.Z2DO4;CT02-CCI-001.Z2DO4;CT02-CCI-001.Z2DO4;AVO;;Secc.01-10-01;38+048;;1748
6;CT02-CCI-001.Z2DO1;CT02-CCI-001.Z2DO1;CT02-CCI-001.Z2DO1;AVO;;Secc.01-10-01;38+048;;1748
7;CT02-CCI-001.Z2DO3;CT02-CCI-001.Z2DO3;CT02-CCI-001.Z2DO3;AVO;;Secc.01-10-01;38+048;;1748
8;CT02-CCI-001.Z2DO6;CT02-CCI-001.Z2DO6;CT02-CCI-001.Z2DO6;AVO;;Secc.01-10-01;38+048;;1748
9;CT02-CCI-001.Z2DO5;CT02-CCI-001.Z2DO5;CT02-CCI-001.Z2DO5;AVO;;Secc.01-10-01;38+048;;1748
10;CT02-CCI-001.Z1DO1;CT02-CCI-001.Z1DO1;CT02-CCI-001.Z1DO1;AVO;;Secc.01-10-01;38+048;;1748
11;CT02-CCI-001.Z1DO2;CT02-CCI-001.Z1DO2;CT02-CCI-001.Z1DO2;AVO;;Secc.01-10-01;38+048;;1748
12;CT02-CCI-001.Z3DO2;CT02-CCI-001.Z3DO2;CT02-CCI-001.Z3DO2;AVO;;Secc.01-10-01;38+048;;1748
13;CT02-CCI-001.Z3DO1;CT02-CCI-001.Z3DO1;CT02-CCI-001.Z3DO1;AVO;;Secc.01-10-01;38+048;;1748
14;CT02-CCI-001.Z3DT2;CT02-CCI-001.Z3DT2;CT02-CCI-001.Z3DT2;AVO;;Secc.01-10-01;38+048;;1748
15;CT02-CCI-001.Z3DO3;CT02-CCI-001.Z3DO3;CT02-CCI-001.Z3DO3;AVO;;Secc.01-10-01;38+048;;1748
16;CT02-CCI-001.Z3DO4;CT02-CCI-001.Z3DO4;CT02-CCI-001.Z3DO4;AVO;;Secc.01-10-01;38+048;;1748
17;CT02-CCI-001.Z3DT1;CT02-CCI-001.Z3DT1;CT02-CCI-001.Z3DT1;AVO;;Secc.01-10-01;38+048;;1748
18;CT03-CCI-001.Z2DO1;CT03-CCI-001.Z2DO1;CT03-CCI-001.Z2DO1;AVO;;Secc.01-11-12;39+015;;2715
19;CT03-CCI-001.Z1DO4;CT03-CCI-001.Z1DO4;CT03-CCI-001.Z1DO4;AVO;;Secc.01-11-12;39+015;;2715
20;CT03-CCI-001.Z1DO3;CT03-CCI-001.Z1DO3;CT03-CCI-001.Z1DO3;AVO;;Secc.01-11-12;39+015;;2715
21;CT03-CCI-001.Z3DT2;CT03-CCI-001.Z3DT2;CT03-CCI-001.Z3DT2;AVO;;Secc.01-11-12;39+015;;2715
22;CT03-CCI-001.Z3DT1;CT03-CCI-001.Z3DT1;CT03-CCI-001.Z3DT1;AVO;;Secc.01-11-12;39+015;;2715
23;CT03-CCI-001.Z1DO2;CT03-CCI-001.Z1DO2;CT03-CCI-001.Z1DO2;AVO;;Secc.01-11-12;39+015;;2715
24;CT03-CCI-001.Z1DO1;CT03-CCI-001.Z1DO1;CT03-CCI-001.Z1DO1;AVO;;Secc.01-11-12;39+015;;2715
25;CT04-CCI-001.Z1DO1;CT04-CCI-001.Z1DO1;CT04-CCI-001.Z1DO1;AVO;;Secc.02-10-04;40+37;;4070
26;CT04-CCI-001.Z2DO1;CT04-CCI-001.Z2DO1;CT04-CCI-001.Z2DO1;AVO;;Secc.02-10-04;40+37;;4070
27;CT04-CCI-001.Z2DO2;CT04-CCI-001.Z2DO2;CT04-CCI-001.Z2DO2;AVO;;Secc.02-10-04;40+37;;4070
28;CT04-CCI-001.Z2DO3;CT04-CCI-001.Z2DO3;CT04-CCI-001.Z2DO3;AVO;;Secc.02-10-04;40+37;;4070
29;CT04-CCI-001.Z2DO4;CT04-CCI-001.Z2DO4;CT04-CCI-001.Z2DO4;AVO;;Secc.02-10-04;40+37;;4070
30;CT04-CCI-001.Z3DT1;CT04-CCI-001.Z3DT1;CT04-CCI-001.Z3DT1;AVO;;Secc.02-10-04;40+37;;4070
31;CT04-CCI-001.Z3DT2;CT04-CCI-001.Z3DT2;CT04-CCI-001.Z3DT2;AVO;;Secc.02-10-04;40+37;;4070
32;CT05-CCI-001.Z2DO4;CT05-CCI-001.Z2DO4;CT05-CCI-001.Z2DO4;AVO;;Secc.03-11-11;41+415;;5115
33;CT05-CCI-001.Z2DO5;CT05-CCI-001.Z2DO5;CT05-CCI-001.Z2DO5;AVO;;Secc.03-11-11;41+415;;5115
34;CT05-CCI-001.Z2DO6;CT05-CCI-001.Z2DO6;CT05-CCI-001.Z2DO6;AVO;;Secc.03-11-11;41+415;;5115
35;CT05-CCI-001.Z2DO3;CT05-CCI-001.Z2DO3;CT05-CCI-001.Z2DO3;AVO;;Secc.03-11-11;41+415;;5115
36;CT05-CCI-001.Z2DO7;CT05-CCI-001.Z2DO7;CT05-CCI-001.Z2DO7;AVO;;Secc.03-11-11;41+415;;5115
37;CT05-CCI-001.Z2DO2;CT05-CCI-001.Z2DO2;CT05-CCI-001.Z2DO2;AVO;;Secc.03-11-11;41+415;;5115
38;CT05-CCI-001.Z2DO1;CT05-CCI-001.Z2DO1;CT05-CCI-001.Z2DO1;AVO;;Secc.03-11-11;41+415;;5115
39;CT05-CCI-001.Z2DO8;CT05-CCI-001.Z2DO8;CT05-CCI-001.Z2DO8;AVO;;Secc.03-11-11;41+415;;5115
40;CT05-CCI-001.Z1DO1;CT05-CCI-001.Z1DO1;CT05-CCI-001.Z1DO1;AVO;;Secc.03-11-11;41+415;;5115
41;CT05-CCI-001.Z1DO2;CT05-CCI-001.Z1DO2;CT05-CCI-001.Z1DO2;AVO;;Secc.03-11-11;41+415;;5115
42;CT05-CCI-001.Z1DO3;CT05-CCI-001.Z1DO3;CT05-CCI-001.Z1DO3;AVO;;Secc.03-11-11;41+415;;5115
43;CT05-CCI-001.Z1DO4;CT05-CCI-001.Z1DO4;CT05-CCI-001.Z1DO4;AVO;;Secc.03-11-11;41+415;;5115
44;CT05-CCI-001.Z3DT1;CT05-CCI-001.Z3DT1;CT05-CCI-001.Z3DT1;AVO;;Secc.03-11-11;41+415;;5115
45;CT05-CCI-001.Z3DT2;CT05-CCI-001.Z3DT2;CT05-CCI-001.Z3DT2;AVO;;Secc.03-11-11;41+415;;5115
46;CT06-CCI-001.Z5DT1;CT06-CCI-001.Z5DT1;CT06-CCI-001.Z5DT1;AVO;;Secc.02-10-05;42+58;;6280
47;CT06-CCI-001.Z5DO1;CT06-CCI-001.Z5DO1;CT06-CCI-001.Z5DO1;AVO;;Secc.02-10-05;42+58;;6280
48;CT06-CCI-001.Z4DT2;CT06-CCI-001.Z4DT2;CT06-CCI-001.Z4DT2;AVO;;Secc.02-10-05;42+58;;6280
49;CT06-CCI-001.Z4DT1;CT06-CCI-001.Z4DT1;CT06-CCI-001.Z4DT1;AVO;;Secc.02-10-05;42+58;;6280
50;CT06-CCI-001.Z3DO1;CT06-CCI-001.Z3DO1;CT06-CCI-001.Z3DO1;AVO;;Secc.02-10-05;42+58;;6280
51;CT06-CCI-001.Z2DO3;CT06-CCI-001.Z2DO3;CT06-CCI-001.Z2DO3;AVO;;Secc.02-10-05;42+58;;6280
52;CT06-CCI-001.Z2DO2;CT06-CCI-001.Z2DO2;CT06-CCI-001.Z2DO2;AVO;;Secc.02-10-05;42+58;;6280
53;CT06-CCI-001.Z2DO1;CT06-CCI-001.Z2DO1;CT06-CCI-001.Z2DO1;AVO;;Secc.02-10-05;42+58;;6280
54;CT06-CCI-001.Z1DO1;CT06-CCI-001.Z1DO1;CT06-CCI-001.Z1DO1;AVO;;Secc.02-10-05;42+58;;6280
55;CT07-CCI-001.Z3DT1;CT07-CCI-001.Z3DT1;CT07-CCI-001.Z3DT1;AVO;;Secc.02-10-06;43+52;;7220
56;CT07-CCI-001.Z3DT2;CT07-CCI-001.Z3DT2;CT07-CCI-001.Z3DT2;AVO;;Secc.02-10-06;43+52;;7220
57;CT07-CCI-001.Z2DO3;CT07-CCI-001.Z2DO3;CT07-CCI-001.Z2DO3;AVO;;Secc.02-10-06;43+52;;7220
58;CT07-CCI-001.Z2DO4;CT07-CCI-001.Z2DO4;CT07-CCI-001.Z2DO4;AVO;;Secc.02-10-06;43+52;;7220
59;CT07-CCI-001.Z2DO2;CT07-CCI-001.Z2DO2;CT07-CCI-001.Z2DO2;AVO;;Secc.02-10-06;43+52;;7220
60;CT07-CCI-001.Z2DO1;CT07-CCI-001.Z2DO1;CT07-CCI-001.Z2DO1;AVO;;Secc.02-10-06;43+52;;7220
61;CT07-CCI-001.Z1DO2;CT07-CCI-001.Z1DO2;CT07-CCI-001.Z1DO2;AVO;;Secc.02-10-06;43+52;;7220
62;CT07-CCI-001.Z1DO1;CT07-CCI-001.Z1DO1;CT07-CCI-001.Z1DO1;AVO;;Secc.02-10-06;43+52;;7220
63;CT08-CCI-001.Z1DO1;CT08-CCI-001.Z1DO1;CT08-CCI-001.Z1DO1;AVO;;Secc.03-11-08;44+52;;8220
64;CT08-CCI-001.Z1DO2;CT08-CCI-001.Z1DO2;CT08-CCI-001.Z1DO2;AVO;;Secc.03-11-08;44+52;;8220
65;CT08-CCI-001.Z2DT1;CT08-CCI-001.Z2DT1;CT08-CCI-001.Z2DT1;AVO;;Secc.03-11-08;44+52;;8220
66;CT08-CCI-001.Z2DT2;CT08-CCI-001.Z2DT2;CT08-CCI-001.Z2DT2;AVO;;Secc.03-11-08;44+52;;8220
67;CT08-CCI-001.Z3DO1;CT08-CCI-001.Z3DO1;CT08-CCI-001.Z3DO1;AVO;;Secc.03-11-08;44+52;;8220
68;CT08-CCI-001.Z3DO2;CT08-CCI-001.Z3DO2;CT08-CCI-001.Z3DO2;AVO;;Secc.03-11-08;44+52;;8220
69;CT08-CCI-001.Z3DO3;CT08-CCI-001.Z3DO3;CT08-CCI-001.Z3DO3;AVO;;Secc.03-11-08;44+52;;8220
70;CT08-CCI-001.Z3DO4;CT08-CCI-001.Z3DO4;CT08-CCI-001.Z3DO4;AVO;;Secc.03-11-08;2000;;8220
71;CT08-CCI-001.Z4DO7;CT08-CCI-001.Z4DO7;CT08-CCI-001.Z4DO7;AVO;;Secc.03-11-08;2000;;8220
