item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;dm
1;2;CT02-TFYA-001;CT02-TFYA-001;CT02-TFYA-001;AVO;;Secc.01-10-01;38+048;;1748
2;2;CT02-TUPS-001;CT02-TUPS-001;CT02-TUPS-001;AVO;;Secc.01-10-01;38+048;;1748
3;2;CT01-TFYA-001;CT01-TFYA-001;CT01-TFYA-001;AVO;;Secc.01-10-14;36+920;;620
4;2;CT01-TUPS-001;CT01-TUPS-001;CT01-TUPS-001;AVO;;Secc.01-10-14;36+920;;620
5;2;CT02-TD1-001;CT02-TD1-001;CT02-TD1-001;AVO;;Secc.01-10-01;38+048;;1748
6;2;CT02-TD1-002;CT02-TD1-002;CT02-TD1-002;AVO;;Secc.01-10-01;38+048;;1748
7;2;CT02-TCCMP-001;CT02-TCCMP-001;CT02-TCCMP-001;AVO;;Secc.01-10-01;38+048;;1748
8;2;CT02-TCCMP-002;CT02-TCCMP-002;CT02-TCCMP-002;AVO;;Secc.01-10-01;38+048;;1748
9;2;CT03-TFYA-001;CT03-TFYA-001;CT03-TFYA-001;AVO;;Secc.01-11-12;39+015;;2715
10;2;CT03-TUPS-001;CT03-TUPS-001;CT03-TUPS-001;AVO;;Secc.01-11-12;39+015;;2715
11;2;CT04-TD1-001;CT04-TD1-001;CT04-TD1-001;AVO;;Secc.02-10-04;40+37;;4070
12;2;CT04-TD1-002;CT04-TD1-002;CT04-TD1-002;AVO;;Secc.02-10-04;40+37;;4070
13;2;CT04-TCCMP-001;CT04-TCCMP-001;CT04-TCCMP-001;AVO;;Secc.02-10-04;40+37;;4070
14;2;CT04-TCCMP-002;CT04-TCCMP-002;CT04-TCCMP-002;AVO;;Secc.02-10-04;40+37;;4070
15;2;CT04-TFYA-001;CT04-TFYA-001;CT04-TFYA-001;AVO;;Secc.02-10-04;40+37;;4070
16;2;CT04-TUPS-001;CT04-TUPS-001;CT04-TUPS-001;AVO;;Secc.02-10-04;40+37;;4070
17;2;CT05-TD1-001;CT05-TD1-001;CT05-TD1-001;AVO;;Secc.03-11-11;41+415;;5115
18;2;CT05-TD1-002;CT05-TD1-002;CT05-TD1-002;AVO;;Secc.03-11-11;41+415;;5115
19;2;CT05-TCCMP-001;CT05-TCCMP-001;CT05-TCCMP-001;AVO;;Secc.03-11-11;41+415;;5115
20;2;CT05-TCCMP-002;CT05-TCCMP-002;CT05-TCCMP-002;AVO;;Secc.03-11-11;41+415;;5115
21;2;CT05-TFYA-001;CT05-TFYA-001;CT05-TFYA-001;AVO;;Secc.03-11-11;41+415;;5115
22;2;CT05-TUPS-001;CT05-TUPS-001;CT05-TUPS-001;AVO;;Secc.03-11-11;41+415;;5115
23;2;CT06-TD1-001;CT06-TD1-001;CT06-TD1-001;AVO;;Secc.02-10-05;42+58;;6280
24;2;CT06-TD1-002;CT06-TD1-002;CT06-TD1-002;AVO;;Secc.02-10-05;42+58;;6280
25;2;CT06-TCCMP-001;CT06-TCCMP-001;CT06-TCCMP-001;AVO;;Secc.02-10-05;42+58;;6280
26;2;CT06-TCCMP-002;CT06-TCCMP-002;CT06-TCCMP-002;AVO;;Secc.02-10-05;42+58;;6280
27;2;CT06-TFYA-001;CT06-TFYA-001;CT06-TFYA-001;AVO;;Secc.02-10-05;42+58;;6280
28;2;CT06-TUPS-001;CT06-TUPS-001;CT06-TUPS-001;AVO;;Secc.02-10-05;42+58;;6280
29;2;CT07-TD1-001;CT07-TD1-001;CT07-TD1-001;AVO;;Secc.02-10-05;42+58;;7220
30;2;CT07-TD1-002;CT07-TD1-002;CT07-TD1-002;AVO;;Secc.02-10-05;42+58;;7220
31;2;CT07-TCCMP-001;CT07-TCCMP-001;CT07-TCCMP-001;AVO;;Secc.02-10-05;42+58;;7220
32;2;CT07-TCCMP-002;CT07-TCCMP-002;CT07-TCCMP-002;AVO;;Secc.02-10-05;42+58;;7220
33;2;CT07-TFYA-001;CT07-TFYA-001;CT07-TFYA-001;AVO;;Secc.02-10-05;42+58;;7220
34;2;CT07-TUPS-001;CT07-TUPS-001;CT07-TUPS-001;AVO;;Secc.02-10-05;42+58;;7220
35;2;CT08-TD1-001;CT08-TD1-001;CT08-TD1-001;AVO;;Secc.03-11-08;44+52;;8220
36;2;CT08-TD1-002;CT08-TD1-002;CT08-TD1-002;AVO;;Secc.03-11-08;44+52;;8220
37;2;CT08-TCCMP-001;CT08-TCCMP-001;CT08-TCCMP-001;AVO;;Secc.03-11-08;44+52;;8220
38;2;CT08-TCCMP-002;CT08-TCCMP-002;CT08-TCCMP-002;AVO;;Secc.03-11-08;44+52;;8220
39;2;CT08-TFYA-001;CT08-TFYA-001;CT08-TFYA-001;AVO;;Secc.03-11-08;44+52;;8220
40;2;CT08-TUPS-001;CT08-TUPS-001;CT08-TUPS-001;AVO;;Secc.03-11-08;44+52;;8220
