item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;lane;on_change_measure;param1_brand;param2_model;param3_protocol;param4_config_json;param8_panel_code;dm
1;11;SAEB-CLV-001;SAEB-CLV-001;SAEB-CLV-001;AVO;SAEB-ZON-001;Secc.01-86-02;0+10;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;100
2;11;SCNO-CLV-001;SCNO-CLV-001;SCNO-CLV-001;AVO;SCNO-ZON-001;Secc.01-25-01;0+11;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;110
3;11;SAEB-CLV-002;SAEB-CLV-002;SAEB-CLV-002;AVO;SAEB-ZON-002;Secc.01-86-02;0+20;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;195
4;11;SAEB-CLV-003;SAEB-CLV-003;SAEB-CLV-003;AVO;SAEB-ZON-002;Secc.01-86-02;0+20;2;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;195
5;11;SCNO-CLV-002;SCNO-CLV-002;SCNO-CLV-002;AVO;SCNO-ZON-003;Secc.01-25-01;0+31;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;310
6;11;SCNO-CLV-003;SCNO-CLV-003;SCNO-CLV-003;AVO;SCNO-ZON-003;Secc.01-25-01;0+31;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;310
7;11;SCNO-CLV-004;SCNO-CLV-004;SCNO-CLV-004;AVO;SCNO-ZON-005;Secc.01-25-01;0+52;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;520
8;11;SCNO-CLV-005;SCNO-CLV-005;SCNO-CLV-005;AVO;SCNO-ZON-005;Secc.01-25-01;0+52;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;520
9;11;S1TS-CLV-001;S1TS-CLV-001;S1TS-CLV-001;AVO;S1TS-ZON-003;Secc.01-10-01;37+15;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;850
10;11;S1TS-CLV-002;S1TS-CLV-002;S1TS-CLV-002;AVO;S1TS-ZON-003;Secc.01-10-01;37+15;2;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;850
11;11;S1TS-CLV-003;S1TS-CLV-003;S1TS-CLV-003;AVO;S1TS-ZON-003;Secc.01-10-01;37+15;3;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;850
12;11;S1TS-CLV-004;S1TS-CLV-004;S1TS-CLV-004;AVO;S1TS-ZON-004;Secc.01-10-01;37+35;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1050
13;11;S1TS-CLV-005;S1TS-CLV-005;S1TS-CLV-005;AVO;S1TS-ZON-004;Secc.01-10-01;37+35;2;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1050
14;11;S1TS-CLV-006;S1TS-CLV-006;S1TS-CLV-006;AVO;S1TS-ZON-004;Secc.01-10-01;37+35;3;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1050
15;11;SIGO-CLV-001;SIGO-CLV-001;SIGO-CLV-001;AVO;SIGO-ZON-001;Secc.01-14-03;1+12;;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1115
16;11;S1TS-CLV-007;S1TS-CLV-007;S1TS-CLV-007;AVO;S1TS-ZON-007;Secc.01-10-01;37+55;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1250
17;11;S1TS-CLV-008;S1TS-CLV-008;S1TS-CLV-008;AVO;S1TS-ZON-007;Secc.01-10-01;37+55;2;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1250
18;11;S1TS-CLV-009;S1TS-CLV-009;S1TS-CLV-009;AVO;S1TS-ZON-007;Secc.01-10-01;37+55;3;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1250
19;11;S1TS-CLV-010;S1TS-CLV-010;S1TS-CLV-010;AVO;S1TS-ZON-009;Secc.01-10-01;37+76;1;;Fixalia;CLV;modbus;"[{""zone"":1,""type"":""graphic"",""vms_group_id"":1}]";;1460
