item;element_subtype;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param2_entrance_tunnel_distance;dm
1;2;CT02-GE-001;CT02-GE-001;CT02-GE-001;AVO;;Secc.01-10-01;38+048;;1748;1748
2;3;CT02-GE-002;CT02-GE-002;CT02-GE-002;AVO;;Secc.01-10-01;38+048;;1748;1748
3;2;CT01-GE-001;CT01-GE-001;CT01-GE-001;AVO;;Secc.01-10-14;36+920;;620;620
4;2;CT03-GE-001;CT03-GE-001;CT03-GE-001;AVO;;Secc.01-11-12;39+015;;2715;2715
5;2;CT04-GE-001;CT04-GE-001;CT04-GE-001;AVO;;Secc.02-10-04;40+37;;4070;4070
6;3;CT04-GE-002;CT04-GE-002;CT04-GE-002;AVO;;Secc.02-10-04;40+37;;4070;4070
7;2;CT05-GE-001;CT05-GE-001;CT05-GE-001;AVO;;Secc.03-11-11;41+415;;5115;5115
8;3;CT05-GE-002;CT05-GE-002;CT05-GE-002;AVO;;Secc.03-11-11;41+415;;5115;5115
9;2;CT07-GE-001;CT07-GE-001;CT07-GE-001;AVO;;Secc.02-10-06;43+52;;7220;7220
10;3;CT07-GE-002;CT07-GE-002;CT07-GE-002;AVO;;Secc.02-10-06;43+52;;7220;7220
11;2;CT08-GE-001;CT08-GE-001;CT08-GE-001;AVO;;Secc.03-11-08;44+52;;8220;8220
12;2;CT06-GE-001;CT06-GE-001;CT06-GE-001;AVO;;Secc.03-11-10;42+580;;6280;6280
13;3;CT06-GE-002;CT06-GE-002;CT06-GE-002;AVO;;Secc.03-11-10;42+580;;6280;6280
14;3;CT08-GE-002;CT08-GE-002;CT08-GE-002;AVO;;Secc.03-11-08;44+52;;8220;8220
