location_id;alias
1; pk 37+300 dm 1425
2; pk 36+31 dm 10
3; pk 35+36 dm 2000
4; pk 0+08 dm 80
5; pk 36+43 dm 125
6; pk 0+13 dm 130
7; pk 1+14 dm 1140
8; pk 0+17 dm 165
9; pk 0+21 dm 210
10; pk 0+24 dm 240
11; pk 0+25 dm 250
12; pk 0+29 dm 290
13; pk 0+30 dm 300
14; pk 0+33 dm 325
15; pk 0+35 dm 345
16; pk 0+35 dm 350
17; pk 0+36 dm 360
18; pk 0+39 dm 390
19; pk 0+45 dm 445
20; pk 0+48 dm 480
21; pk 0+50 dm 500
22; pk 0+58 dm 580
23; pk 0+60 dm 600
24; pk 36+92 dm 620
25; pk 36+95 dm 650
26; pk 0+73 dm 730
27; pk 37+05 dm 745
28; pk 37+05 dm 754
29; pk 37+09 dm 790
30; pk 37+16 dm 855
31; pk 37+25 dm 950
32; pk 37+30 dm 1003
33; pk 1+05 dm 1050
34; pk 37+36 dm 1060
35; pk 37+40 dm 1100
36; pk 1+10 dm 1100
37; pk 1+14 dm 1140
38; pk 37+48 dm 1180
39; pk 0+04 dm 35
40; pk 37+55 dm 1250
41; pk 37+58 dm 1280
42; pk 37+67 dm 1370
43; pk 37+73 dm 1430
44; pk 37+76 dm 1460
45; pk 37+80 dm 1495
46; pk 37+87 dm 1565
47; pk 37+97 dm 1665
48; pk 38+05 dm 1750
49; pk 38+07 dm 1770
50; pk 38+11 dm 1805
51; pk 38+18 dm 1880
52; pk 38+30 dm 2000
53; pk 38+31 dm 2010
54; pk 38+39 dm 2090
55; pk 38+41 dm 2105
56; pk 38+48 dm 2175
57; pk 38+55 dm 2248
58; pk 38+55 dm 2250
59; pk 38+56 dm 2260
60; pk 38+56 dm 2360
61; pk 38+73 dm 2428
62; pk 38+76 dm 2460
63; pk 38+85 dm 2550
64; pk 38+93 dm 2630
65; pk 38+94 dm 2635
66; pk 39+02 dm 2720
67; pk 39+11 dm 2810
68; pk 39+12 dm 2820
69; pk 39+20 dm 2900
70; pk 39+24 dm 2935
71; pk 39+26 dm 2960
72; pk 39+36 dm 3055
73; pk 39+38 dm 3080
74; pk 39+39 dm 3090
75; pk 39+47 dm 3170
76; pk 39+48 dm 3180
77; pk 1+27 dm 1270
78; pk 39+56 dm 3260
79; pk 39+58 dm 3280
80; pk 39+58 dm 3280
81; pk 39+59 dm 3290
82; pk 39+64 dm 3340
83; pk 1+47 dm 1470
84; pk 40+575 dm 4275
85; pk 40+465 dm 4165
86; pk 40+45 dm 4150
87; pk 40+355 dm 4055
88; pk 2+085 dm 2085
89; pk 40+24 dm 3940
90; pk 40+22 dm 3920
91; pk 40+13 dm 3830
92; pk 2+27 dm 2270
93; pk 40+02 dm 3720
94; pk 39+965 dm 3665
95; pk 39+915 dm 3615
96; pk 39+8 dm 3500
97; pk 39+8 dm 3500
98; pk 39+695 dm 3395
99; pk 40+85 dm 4550
100; pk 40+795 dm 4495
101; pk 40+685 dm 4385
102; pk 40+685 dm 4385
103; pk 40+885 dm 4585
104; pk 40+95 dm 4650
105; pk 40+965 dm 4665
106; pk 41+04 dm 4740
107; pk 41+075 dm 4775
108; pk 41+16 dm 4860
109; pk 41+185 dm 4885
110; pk 41+28 dm 4980
111; pk 41+3 dm 5000
112; pk 0+125 dm 125
113; pk 0+165 dm 165
114; pk 0+19 dm 190
115; pk 0+135 dm 135
116; pk 0+1 dm 100
117; pk 0+295 dm 295
118; pk 0+335 dm 335
119; pk 0+18 dm 180
120; pk 0+37 dm 370
121; pk 0+12 dm 120
122; pk 0+14 dm 140
123; pk 0+41 dm 410
124; pk 0+43 dm 430
125; pk 0+445 dm 445
126; pk 0+785 dm 785
127; pk 0+85 dm 850
128; pk 0+545 dm 545
129; pk 0+615 dm 615
130; pk 0+715 dm 715
131; pk 0+345 dm 345
132; pk 0+435 dm 435
133; pk 0+525 dm 525
134; pk 0+725 dm 725
135; pk 0+17 dm 270
136; pk 0+32 dm 320
137; pk 41+415 dm 5115
138; pk 41+41 dm 5110
139; pk 4+25 dm 4250
140; pk 0+42 dm 420
141; pk 41+515 dm 5215
142; pk 41+615 dm 5315
143; pk 4+15 dm 4150
144; pk 41+675 dm 5375
145; pk 0+3 dm 300
146; pk 41+72 dm 5420
147; pk 4+06 dm 4060
148; pk 0+215 dm 215
149; pk 41+835 dm 5535
150; pk 41+85 dm 5550
151; pk 41+95 dm 5650
152; pk 0+305 dm 305
153; pk 42+06 dm 5760
154; pk 42+075 dm 5775
155; pk 0+265 dm 265
156; pk 0+175 dm 175
157; pk 0+12 dm 120
158; pk 42+16 dm 5860
159; pk 42+23 dm 5930
160; pk 42+26 dm 5960
161; pk 42+41 dm 6110
162; pk 42+455 dm 6155
163; pk 42+51 dm 6210
164; pk 42+58 dm 6280
165; pk 42+62 dm 6320
166; pk 42+73 dm 6430
167; pk 42+805 dm 6505
168; pk 42+84 dm 6540
169; pk 5+25 dm 5250
170; pk 42+95 dm 6650
171; pk 5+14 dm 5140
172; pk 43+03 dm 6730
173; pk 43+06 dm 6760
174; pk 43+17 dm 6870
175; pk 43+19 dm 6890
176; pk 43+285 dm 6985
177; pk 43+39 dm 7090
178; pk 5+03 dm 5030
179; pk 43+415 dm 7115
180; pk 43+5 dm 7200
181; pk 43+57 dm 7270
182; pk 43+605 dm 7305
183; pk 43+64 dm 7340
184; pk 43+71 dm 7410
