item;subtipo;alias;road;stretchs;secc;pk;sentido;param1_direction;param2_virtual;param3_los_type;param4_los_soften;param5_los_flatten;param6_los_threshold_speed;param7_los_threshold_occupancy;param100_cat_veh_pa1;param101_cat_veh_pa2
1;1;ASDKD01P-8+007;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
2;1;ASDKD01L-8+007;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
3;1;ASDDH01P-14+942;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
4;1;ASDDH01L-14+942;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
5;1;ASDDH02P-29+739;R7;R7_4:Šamorín-Holice;;29+739;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
6;1;ASDDH02L-29+739;R7;R7_4:Šamorín-Holice;;29+739;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
7;1;ASDJS05P-10+086;D4;D4_3:Ketelec-Rovinca;;10+086;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
8;1;ASDJS06L-10+086;D4;D4_3:Ketelec-Rovinca;;10+086;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
9;1;ASDJS07P-14+178;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
10;1;ASDJS08L-14+178;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
11;1;ASDJS09P-18+695;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
12;1;ASDJS10L-18+695;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
13;1;ASDJS11P-24+304;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
14;1;ASDJS12P-24+304;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
15;1;ASDJS13L-24+304;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
16;1;ASDJS14L-24+304;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
17;1;ASDJS01P-3+534;D4;D4_1:Jarovce-Rusovce;;3+534;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
18;1;ASDJS02L-3+534;D4;D4_1:Jarovce-Rusovce;;3+534;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
19;1;ASDJS03P-7+788;D4;D4_2:Rusovce-Ketelec;;7+788;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
20;1;ASDJS04L-7+788;D4;D4_2:Rusovce-Ketelec;;7+788;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
21;1;ASDSR01P-25+728;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
22;1;ASDSR02L-25+728;D4;D4_7:Ivanka sever-Cierna voda;;25+728;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
23;1;ASDSR03P-28+013;D4;D4_8:Cierna voda-Raca;;28+013;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
24;1;ASDSR04L-28+013;D4;D4_8:Cierna voda-Raca;;28+013;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
25;1;ASDPK01P-1+000;R7;R7_1:Prievoz-Ketelec;;1+000;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
26;1;ASDPK01L-1+000;R7;R7_1:Prievoz-Ketelec;;1+000;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
27;1;ASDPK02P-3+715;R7;R7_1:Prievoz-Ketelec;;3+715;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
28;1;ASDPK02L-3+715;R7;R7_1:Prievoz-Ketelec;;3+715;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
29;2;ADPJS24P-9+982;D4;D4_3:Ketelec-Rovinca;;9+282;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
30;2;ADPJS23L-9+272;D4;D4_3:Ketelec-Rovinca;;9+272;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
31;2;ADPJS22P-9+272;D4;D4_3:Ketelec-Rovinca;;9+272;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
32;2;ADPJS24P-9+982;D4;D4_3:Ketelec-Rovinca;;9+982;P;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
33;2;ADPJS25L-10+328;D4;D4_3:Ketelec-Rovinca;;10+328;L;true;false;0;false;false;[8, 32, 72];[16, 28, 35];[1];[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
