item;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model;param3_asociated_cabinet
1;Poklop_1;Poklop_1;D4;D4_2:Rusovce-Ketelec;;4,76;-;;;RAIDJSKD01
2;Poklop_2;Poklop_2;D4;D4_2:Rusovce-Ketelec;;5,484;-;;;RAIDJSKD09
3;Poklop_3;Poklop_3;D4;D4_2:Rusovce-Ketelec;;5,589;-;;;RAIDJSKD10
4;Poklop_4;Poklop_4;D4;D4_2:Rusovce-Ketelec;;5,694;-;;;RAIDJSKD11
5;Poklop_5;Poklop_5;D4;D4_2:Rusovce-Ketelec;;5,801;-;;;RAIDJSKD12
6;Poklop_6;Poklop_6;D4;D4_2:Rusovce-Ketelec;;5,907;-;;;RAIDJSKD13
7;Poklop_7;Poklop_7;D4;D4_2:Rusovce-Ketelec;;6,111;-;;;RAIDJSKD15
8;Poklop_8;Poklop_8;D4;D4_2:Rusovce-Ketelec;;6,334;-;;;RAIDJSKD17
9;Poklop_9;Poklop_9;D4;D4_2:Rusovce-Ketelec;;6,441;-;;;RAIDJSKD18
10;Poklop_10;Poklop_10;D4;D4_2:Rusovce-Ketelec;;6,961;-;;;RAIDJSKD23
11;Poklop_11;Poklop_11;D4;D4_2:Rusovce-Ketelec;;7,656;-;;;RAIDJSKD30
