item;alias;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;RASDKD01P;RASDKD01P;R7;R7_2:Ketelec-Dunajská Lužná;;8+007;P;SIEMENS;LOGO! 12/24 RCEo
2;RASDDH01P;RASDDH01P;R7;R7_3:Dunajská Lužná-Šamorín;;14+942;P;SIEMENS;LOGO! 12/24 RCEo
3;RASDDH02P;RASDDH02P;R7;R7_4:Šamorín-Holice;;29+739;P;SIEMENS;LOGO! 12/24 RCEo
4;RASDJS03P;RASDJS03P;D4;D4_3:Ketelec-Rovinca;;10+086;P;SIEMENS;LOGO! 12/24 RCEo
5;RASDJS04P;RASDJS04P;D4;D4_4:Rovinka-Pod.Biskupice;;14+178;P;SIEMENS;LOGO! 12/24 RCEo
6;RASDJS05P;RASDJS05P;D4;D4_5:Pod.Biskupice-Ivanka západ;;18+695;P;SIEMENS;LOGO! 12/24 RCEo
7;RASDJS06P;RASDJS06P;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;SIEMENS;LOGO! 12/24 RCEo
8;RASDJS07L;RASDJS07L;D4;D4_6:Ivanka západ-Ivanka sever;;24+304;P;SIEMENS;LOGO! 12/24 RCEo
9;RASDJS01P;RASDJS01P;D4;D4_1:Jarovce-Rusovce;;3+534;P;SIEMENS;LOGO! 12/24 RCEo
10;RASDJS02P;RASDJS02P;D4;D4_2:Rusovce-Ketelec;;7+788;P;SIEMENS;LOGO! 12/24 RCEo
11;RASDSR01P;RASDSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+728;P;SIEMENS;LOGO! 12/24 RCEo
12;RASDSR02P;RASDSR02P;D4;D4_8:Cierna voda-Raca;;28+013;P;SIEMENS;LOGO! 12/24 RCEo
13;RASDPK01L;RASDPK01L;R7;R7_1:Prievoz-Ketelec;;1+000;L;SIEMENS;LOGO! 12/24 RCEo
14;RASDPK02L;RASDPK02L;R7;R7_1:Prievoz-Ketelec;;3+715;L;SIEMENS;LOGO! 12/24 RCEo
