item;alias;description;sessionuid;road;stretchs;secc;pk;sentido;param1_brand;param2_model
1;TUKD01L;TUKD01L;TUKD01L;R7;R7_2:Ketelec-Dunajská Lužná;;9+717;L;SIEMENS;LOGO! 12/24 RCEo
2;TUKD02L;TUKD02L;TUKD02L;R7;R7_2:Ketelec-Dunajská Lužná;;13+018;L;SIEMENS;LOGO! 12/24 RCEo
3;TUDH01L;TUDH01L;TUDH01L;R7;R7_3:Dunajská Lužná-Šamorín;;15+842;L;SIEMENS;LOGO! 12/24 RCEo
4;TUDH02L;TUDH02L;TUDH02L;R7;R7_4:Šamorín-Holice;;20+942;L;SIEMENS;LOGO! 12/24 RCEo
5;TUDH03L;TUDH03L;TUDH03L;R7;R7_4:Šamorín-Holice;;26+422;L;SIEMENS;LOGO! 12/24 RCEo
6;TUDH04L;TUDH04L;TUDH04L;R7;R7_4:Šamorín-Holice;;28+897;L;SIEMENS;LOGO! 12/24 RCEo
7;TUDH05L;TUDH05L;TUDH05L;R7;R7_4:Šamorín-Holice;;30+242;L;SIEMENS;LOGO! 12/24 RCEo
8;TUJS04P;TUJS04P;TUJS04P;D4;D4_3:Ketelec-Rovinca;;8+797;P;SIEMENS;LOGO! 12/24 RCEo
9;TUJS05P;TUJS05P;TUJS05P;D4;D4_3:Ketelec-Rovinca;;11+016;P;SIEMENS;LOGO! 12/24 RCEo
10;TUJS06P;TUJS06P;TUJS06P;D4;D4_3:Ketelec-Rovinca;;12+688;P;SIEMENS;LOGO! 12/24 RCEo
11;TUJS07P;TUJS07P;TUJS07P;D4;D4_3:Ketelec-Rovinca;;14+241;P;SIEMENS;LOGO! 12/24 RCEo
12;TUJS08P;TUJS08P;TUJS08P;D4;D4_5:Pod.Biskupice-Ivanka západ;;17+936;P;SIEMENS;LOGO! 12/24 RCEo
13;TUJS09P;TUJS09P;TUJS09P;D4;D4_5:Pod.Biskupice-Ivanka západ;;21+092;P;SIEMENS;LOGO! 12/24 RCEo
14;TUJS01P;TUJS01P;TUJS01P;D4;D4_1:Jarovce-Rusovce;;2+338;P;SIEMENS;LOGO! 12/24 RCEo
15;TUJS02L;TUJS02L;TUJS02L;D4;D4_1:Jarovce-Rusovce;;4+330;L;SIEMENS;LOGO! 12/24 RCEo
16;TUJS03P;TUJS03P;TUJS03P;D4;D4_2:Rusovce-Ketelec;;6+323;P;SIEMENS;LOGO! 12/24 RCEo
17;TUSR01P;TUSR01P;TUSR01P;D4;D4_7:Ivanka sever-Cierna voda;;25+168;P;SIEMENS;LOGO! 12/24 RCEo
18;TUSR02P;TUSR02P;TUSR02P;D4;D4_8:Cierna voda-Raca;;28+008;P;SIEMENS;LOGO! 12/24 RCEo
19;TUPK01L;TUPK01L;TUPK01L;R7;R7_1:Prievoz-Ketelec;;0+017;L;SIEMENS;LOGO! 12/24 RCEo
20;TUPK02L;TUPK02L;TUPK02L;R7;R7_1:Prievoz-Ketelec;;3+475;L;SIEMENS;LOGO! 12/24 RCEo
